candidate,target,sample_size,spearman_rank_correlation,interpretation
log10_mass_mev,log10_lifetime_s,29,-0.5175514265147008,descriptive_only; see out-of-sample model validation
log10_compton_frequency_hz,log10_lifetime_s,29,-0.5175514265147008,descriptive_only; see out-of-sample model validation
representative_decay_mode_count,log10_lifetime_s,29,-0.08993170994072738,descriptive_only; see out-of-sample model validation
log10_compton_cycles,log10_lifetime_s,29,0.9901477832512315,target_derived; never use as predictor
