stable_mode,base,angular_entropy,circular_resultant_R,largest_angular_gap,top_3_gap_sum,top_5_gap_sum,dbscan_cluster_count,average_nearest_neighbor_distance_3d,persistent_neighbor_stability,radial_spiral_fit_R2,fitted_k,golden_k,golden_spiral_error,golden_spiral_relative_error,family_compactness,interaction_compactness
finite_lifetime_only,1.618033988749895,3.272664841643534,0.26765931236540497,0.7648878165370321,2.0180872629360245,2.9932090062412104,3,0.7691987352791982,1.0,0.038160157608836065,-0.10969264305688184,0.30634896253003313,0.41604160558691494,1.3580643529880667,0.13521733345392856,0.1482855976155291
stable_truncated_1e25,1.618033988749895,3.2808316980989005,0.26510481868198243,0.7648878165370321,2.0180872629360245,2.854608146664887,3,0.8695390844354673,1.0,0.16754676512922284,-0.1845421572554105,0.30634896253003313,0.49089111978544364,1.602391977212323,0.1149264948961508,0.15017365813630595
stable_truncated_1e30,1.618033988749895,3.317775150606212,0.2554873154541369,0.7648878165370321,1.9762020886716436,2.8649291874112284,3,0.8593572856671683,1.0,0.18133585325148993,-0.18801895187970857,0.30634896253003313,0.4943679144097417,1.6137411085936875,0.11182903121531852,0.15031965405731174
stable_truncated_1e35,1.618033988749895,3.345347827131158,0.24458510306740228,0.6969811871909783,1.7961149367210547,2.7712366800262407,3,0.851165126951309,1.0,0.19457067607150957,-0.190613114845612,0.30634896253003313,0.49696207737564513,1.622209108434389,0.1088833098428781,0.1504333245848879
stable_as_infinity_marker,1.618033988749895,3.272664841643534,0.26765931236540497,0.7648878165370321,2.0180872629360245,2.9932090062412104,3,0.7691987352791982,1.0,0.038160157608836065,-0.10969264305688184,0.30634896253003313,0.41604160558691494,1.3580643529880667,0.13521733345392856,0.1482855976155291
