record_type,members,member_count,persistence_neighbor_score
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""Omega_minus"", ""W"", ""Xi_minus"", ""Z"", ""neutron"", ""pi_plus"", ""tau""]",10,0.0004
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""D0"", ""Ds_plus"", ""Higgs"", ""J_psi"", ""K_plus"", ""Lambda"", ""Omega_minus"", ""Sigma_plus"", ""Upsilon_1S"", ""W"", ""Xi_minus"", ""Z"", ""electron"", ""eta"", ""neutron"", ""omega_782"", ""pi_plus"", ""proton"", ""rho_770"", ""tau"", ""top""]",24,0.0004
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""D0"", ""K_plus"", ""Lambda"", ""Omega_minus"", ""Upsilon_1S"", ""W"", ""Xi_minus"", ""Z"", ""electron"", ""eta"", ""pi_plus"", ""proton"", ""tau""]",16,0.0004
cluster,"[""D_plus"", ""Ds_plus"", ""Higgs"", ""J_psi"", ""K_short"", ""eta"", ""muon"", ""omega_782"", ""pi0"", ""proton"", ""rho_770"", ""top""]",12,0.0004
cluster,"[""D_plus"", ""Ds_plus"", ""Higgs"", ""J_psi"", ""K_long"", ""K_short"", ""electron"", ""eta"", ""muon"", ""neutron"", ""omega_782"", ""pi0"", ""proton"", ""rho_770"", ""top""]",15,0.0004
cluster,"[""D0"", ""D_plus"", ""Ds_plus"", ""Higgs"", ""J_psi"", ""K_long"", ""K_plus"", ""K_short"", ""Lambda"", ""W"", ""Z"", ""electron"", ""eta"", ""muon"", ""neutron"", ""omega_782"", ""pi0"", ""rho_770"", ""top""]",19,0.0004
cluster,"[""Ds_plus"", ""W"", ""Z"", ""eta"", ""muon"", ""neutron""]",6,0.0004
cluster,"[""D0"", ""Lambda"", ""muon"", ""omega_782"", ""proton"", ""rho_770"", ""tau"", ""top""]",8,0.0004
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""Delta_1232"", ""K_plus"", ""Lambda"", ""Omega_minus"", ""Xi_minus"", ""electron"", ""eta"", ""muon"", ""pi0"", ""pi_plus"", ""proton""]",14,0.0004
cluster,"[""D0"", ""Ds_plus"", ""K_long"", ""neutron""]",4,0.0004
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""Delta_1232"", ""K_plus"", ""Lambda"", ""Omega_minus"", ""Xi_minus"", ""eta"", ""muon"", ""phi_1020"", ""pi0"", ""pi_plus""]",13,0.0004
cluster,"[""D_plus"", ""K_short"", ""Omega_minus"", ""Sigma_plus"", ""Upsilon_1S"", ""electron"", ""omega_782"", ""phi_1020"", ""pi_plus"", ""proton"", ""rho_770"", ""top""]",12,0.0004
cluster,"[""D0"", ""Higgs"", ""J_psi"", ""K_long"", ""W"", ""Z"", ""neutron"", ""proton""]",8,0.0004
cluster,"[""electron"", ""pi0"", ""tau""]",3,0.0004
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""Lambda"", ""Upsilon_1S"", ""neutron"", ""rho_770""]",7,0.0004
cluster,"[""B0"", ""Upsilon_1S"", ""neutron"", ""tau""]",4,0.0002
cluster,"[""Bs0"", ""D0"", ""D_plus"", ""K_long"", ""Xi_minus"", ""electron"", ""pi0"", ""top""]",8,0.0002
cluster,"[""B_plus"", ""Higgs"", ""K_plus"", ""K_short"", ""muon""]",5,0.0002
cluster,"[""Delta_1232"", ""Ds_plus"", ""Omega_minus"", ""Sigma_plus"", ""Z"", ""omega_782"", ""pi_plus""]",7,0.0002
cluster,"[""J_psi"", ""Lambda"", ""W"", ""eta"", ""phi_1020"", ""proton"", ""rho_770""]",7,0.0002
cluster,"[""D_plus"", ""electron"", ""omega_782"", ""phi_1020"", ""tau""]",5,0.0002
cluster,"[""B0"", ""Ds_plus"", ""Higgs"", ""K_plus"", ""K_short"", ""Lambda"", ""Omega_minus"", ""Sigma_plus"", ""W"", ""muon""]",10,0.0002
cluster,"[""B_plus"", ""Bs0"", ""Delta_1232"", ""J_psi"", ""K_long"", ""Upsilon_1S"", ""Xi_minus"", ""neutron"", ""pi0"", ""pi_plus"", ""proton"", ""rho_770"", ""top""]",13,0.0002
cluster,"[""J_psi"", ""K_long"", ""K_short"", ""W"", ""Xi_minus"", ""neutron"", ""top""]",7,0.0002
cluster,"[""D_plus"", ""muon"", ""phi_1020"", ""pi_plus""]",4,0.0002
cluster,"[""B0"", ""Delta_1232"", ""Upsilon_1S"", ""electron"", ""omega_782""]",5,0.0002
cluster,"[""Bs0"", ""D0"", ""Higgs"", ""Lambda"", ""pi0"", ""tau""]",6,0.0002
cluster,"[""Omega_minus"", ""Z"", ""proton""]",3,0.0002
cluster,"[""B_plus"", ""Ds_plus"", ""K_plus"", ""Sigma_plus"", ""eta"", ""rho_770""]",6,0.0002
cluster,"[""B_plus"", ""Delta_1232"", ""J_psi"", ""Lambda"", ""Upsilon_1S"", ""Z""]",6,0.0002
cluster,"[""D0"", ""phi_1020"", ""pi_plus"", ""proton"", ""top""]",5,0.0002
cluster,"[""Omega_minus"", ""W"", ""eta"", ""muon"", ""pi0"", ""tau""]",6,0.0002
cluster,"[""B0"", ""Bs0"", ""D_plus"", ""Higgs"", ""K_long"", ""K_plus"", ""Sigma_plus"", ""Xi_minus"", ""electron"", ""omega_782"", ""rho_770""]",11,0.0002
cluster,"[""Ds_plus"", ""Omega_minus"", ""Z"", ""pi0"", ""tau"", ""top""]",6,0.0002
cluster,"[""B_plus"", ""D_plus"", ""Delta_1232"", ""Xi_minus""]",4,0.0002
cluster,"[""Higgs"", ""K_long"", ""Sigma_plus"", ""neutron"", ""omega_782"", ""pi_plus""]",6,0.0002
cluster,"[""Lambda"", ""Upsilon_1S"", ""eta"", ""proton""]",4,0.0002
cluster,"[""B0"", ""Bs0"", ""D0"", ""J_psi"", ""K_plus"", ""K_short"", ""electron"", ""muon"", ""phi_1020"", ""rho_770""]",10,0.0002
cluster,"[""B_plus"", ""J_psi"", ""K_long"", ""Lambda"", ""Sigma_plus"", ""electron"", ""muon"", ""neutron""]",8,0.0002
cluster,"[""D0"", ""pi0"", ""top""]",3,0.0002
cluster,"[""D_plus"", ""Ds_plus"", ""Higgs"", ""K_plus"", ""K_short"", ""Omega_minus"", ""Upsilon_1S"", ""W"", ""Xi_minus"", ""Z"", ""eta"", ""omega_782"", ""pi_plus"", ""proton"", ""rho_770"", ""tau""]",16,0.0002
cluster,"[""Bs0"", ""Delta_1232"", ""K_long"", ""proton"", ""rho_770"", ""tau""]",6,0.0002
cluster,"[""B_plus"", ""J_psi"", ""Omega_minus"", ""Xi_minus"", ""eta"", ""neutron"", ""top""]",7,0.0002
cluster,"[""K_short"", ""Upsilon_1S"", ""pi0""]",3,0.0002
cluster,"[""Lambda"", ""Z"", ""muon"", ""omega_782"", ""pi_plus""]",5,0.0002
cluster,"[""D0"", ""D_plus"", ""Ds_plus"", ""Higgs"", ""K_plus"", ""Sigma_plus"", ""W"", ""electron"", ""phi_1020""]",9,0.0002
cluster,"[""Higgs"", ""eta"", ""neutron"", ""pi_plus""]",4,0.0002
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""D0"", ""D_plus"", ""Delta_1232"", ""Ds_plus"", ""J_psi"", ""K_long"", ""K_plus"", ""K_short"", ""Lambda"", ""Omega_minus"", ""Sigma_plus"", ""Upsilon_1S"", ""Xi_minus"", ""Z"", ""electron"", ""muon"", ""omega_782"", ""phi_1020"", ""pi0"", ""proton"", ""rho_770"", ""tau"", ""top""]",26,0.0002
cluster,"[""D0"", ""Ds_plus"", ""Omega_minus"", ""Upsilon_1S"", ""Xi_minus"", ""neutron"", ""phi_1020"", ""top""]",8,0.0002
cluster,"[""J_psi"", ""Lambda"", ""omega_782""]",3,0.0002
cluster,"[""B0"", ""Bs0"", ""Delta_1232"", ""K_long"", ""K_plus"", ""K_short"", ""Sigma_plus"", ""W"", ""Z"", ""electron"", ""eta"", ""muon"", ""pi0"", ""pi_plus"", ""proton"", ""rho_770"", ""tau""]",17,0.0002
cluster,"[""B_plus"", ""D_plus"", ""W"", ""rho_770""]",4,0.0002
cluster,"[""Upsilon_1S"", ""electron"", ""muon"", ""neutron"", ""phi_1020"", ""top""]",6,0.0002
cluster,"[""D0"", ""Ds_plus"", ""Higgs"", ""K_short"", ""Sigma_plus"", ""omega_782"", ""pi0""]",7,0.0002
cluster,"[""B0"", ""Bs0"", ""J_psi"", ""Xi_minus"", ""eta""]",5,0.0002
cluster,"[""Delta_1232"", ""K_plus"", ""Lambda"", ""Omega_minus"", ""Z"", ""pi_plus"", ""tau""]",7,0.0002
cluster,"[""Upsilon_1S"", ""Xi_minus"", ""omega_782"", ""rho_770""]",4,0.0002
cluster,"[""B0"", ""Bs0"", ""D0"", ""Ds_plus"", ""Higgs"", ""K_long"", ""Omega_minus"", ""electron"", ""eta"", ""proton""]",10,0.0002
cluster,"[""B_plus"", ""D_plus"", ""Delta_1232"", ""J_psi"", ""K_plus"", ""K_short"", ""Sigma_plus"", ""W"", ""muon"", ""phi_1020"", ""pi0"", ""pi_plus"", ""tau"", ""top""]",14,0.0002
cluster,"[""D_plus"", ""K_plus"", ""pi0"", ""rho_770"", ""tau""]",5,0.0002
cluster,"[""eta"", ""pi_plus"", ""proton""]",3,0.0002
cluster,"[""B0"", ""Bs0"", ""Higgs"", ""K_long"", ""Z"", ""electron"", ""phi_1020""]",7,0.0002
cluster,"[""B_plus"", ""D0"", ""Delta_1232"", ""Ds_plus"", ""J_psi"", ""K_short"", ""Lambda"", ""Sigma_plus"", ""W"", ""Xi_minus"", ""muon"", ""neutron"", ""omega_782"", ""top""]",14,0.0002
cluster,"[""D0"", ""Ds_plus"", ""J_psi"", ""Upsilon_1S"", ""phi_1020""]",5,0.0002
cluster,"[""eta"", ""proton"", ""rho_770""]",3,0.0002
cluster,"[""D_plus"", ""W"", ""electron"", ""top""]",4,0.0002
cluster,"[""B0"", ""Bs0"", ""Delta_1232"", ""Higgs"", ""K_plus"", ""Lambda"", ""Sigma_plus"", ""Xi_minus"", ""neutron"", ""omega_782"", ""pi0"", ""tau""]",12,0.0002
cluster,"[""B_plus"", ""K_long"", ""K_short"", ""Omega_minus"", ""muon"", ""pi_plus""]",6,0.0002
cluster,"[""B_plus"", ""J_psi"", ""Upsilon_1S"", ""Z"", ""electron"", ""eta"", ""muon"", ""rho_770"", ""tau"", ""top""]",10,0.0002
cluster,"[""K_long"", ""K_plus"", ""omega_782""]",3,0.0002
cluster,"[""D0"", ""Delta_1232"", ""Ds_plus"", ""Lambda"", ""Sigma_plus"", ""Xi_minus"", ""pi_plus""]",7,0.0002
cluster,"[""B0"", ""Bs0"", ""D_plus"", ""Higgs"", ""K_short"", ""Omega_minus"", ""neutron"", ""proton""]",8,0.0002
cluster,"[""D0"", ""Ds_plus"", ""Higgs"", ""K_long"", ""K_plus"", ""K_short"", ""Omega_minus"", ""Upsilon_1S"", ""W"", ""eta"", ""omega_782"", ""rho_770""]",12,0.0002
cluster,"[""B0"", ""Bs0"", ""D_plus"", ""J_psi"", ""electron"", ""neutron"", ""phi_1020"", ""pi_plus"", ""proton""]",9,0.0002
cluster,"[""Lambda"", ""Xi_minus"", ""muon""]",3,0.0002
cluster,"[""Sigma_plus"", ""Z"", ""pi0"", ""tau"", ""top""]",5,0.0002
cluster,"[""B_plus"", ""D_plus"", ""K_plus"", ""Sigma_plus"", ""Upsilon_1S"", ""eta"", ""rho_770""]",7,0.0002
cluster,"[""Delta_1232"", ""Omega_minus"", ""electron"", ""muon"", ""pi_plus""]",5,0.0002
cluster,"[""J_psi"", ""K_short"", ""Z"", ""pi0"", ""tau"", ""top""]",6,0.0002
cluster,"[""B0"", ""Bs0"", ""D0"", ""Ds_plus"", ""K_long"", ""Lambda"", ""W"", ""Xi_minus"", ""omega_782"", ""phi_1020"", ""proton""]",11,0.0002
cluster,"[""B_plus"", ""D0"", ""D_plus"", ""J_psi"", ""Omega_minus""]",5,0.0002
cluster,"[""K_long"", ""electron"", ""rho_770""]",3,0.0002
cluster,"[""Delta_1232"", ""K_plus"", ""Lambda"", ""Upsilon_1S"", ""Xi_minus"", ""muon"", ""pi0"", ""top""]",8,0.0002
cluster,"[""B0"", ""Bs0"", ""Ds_plus"", ""Higgs"", ""Sigma_plus"", ""W"", ""Z"", ""neutron"", ""omega_782"", ""phi_1020"", ""pi_plus"", ""proton"", ""tau""]",13,0.0002
cluster,"[""D0"", ""D_plus"", ""Higgs"", ""K_short"", ""Lambda"", ""Xi_minus"", ""neutron"", ""pi_plus"", ""rho_770"", ""top""]",10,0.0002
cluster,"[""B0"", ""Bs0"", ""Delta_1232"", ""J_psi"", ""K_long"", ""Omega_minus"", ""Sigma_plus"", ""Upsilon_1S"", ""W"", ""Z"", ""electron"", ""eta"", ""muon"", ""omega_782"", ""phi_1020"", ""pi0"", ""proton""]",17,0.0002
cluster,"[""B_plus"", ""Ds_plus"", ""K_plus"", ""tau""]",4,0.0002
cluster,"[""D_plus"", ""electron"", ""top""]",3,0.0002
cluster,"[""K_plus"", ""Sigma_plus"", ""Z"", ""omega_782"", ""phi_1020"", ""pi0"", ""rho_770""]",7,0.0002
cluster,"[""Delta_1232"", ""Higgs"", ""Omega_minus""]",3,0.0002
cluster,"[""B0"", ""Bs0"", ""W""]",3,0.0002
cluster,"[""B_plus"", ""J_psi"", ""K_long"", ""Lambda"", ""eta"", ""muon"", ""neutron"", ""pi_plus"", ""proton""]",9,0.0002
cluster,"[""Ds_plus"", ""K_short"", ""Upsilon_1S"", ""Xi_minus"", ""tau""]",5,0.0002
cluster,"[""D_plus"", ""Ds_plus"", ""J_psi"", ""Sigma_plus"", ""Upsilon_1S"", ""Z"", ""electron"", ""muon"", ""omega_782"", ""rho_770"", ""tau""]",11,0.0002
cluster,"[""D0"", ""Delta_1232"", ""K_long"", ""Omega_minus"", ""W"", ""pi0"", ""pi_plus""]",7,0.0002
cluster,"[""B0"", ""Bs0"", ""Lambda"", ""neutron"", ""proton""]",5,0.0002
cluster,"[""B_plus"", ""Higgs"", ""K_short"", ""eta"", ""top""]",5,0.0002
cluster,"[""Delta_1232"", ""Higgs"", ""Omega_minus"", ""Sigma_plus"", ""W"", ""Z"", ""eta"", ""pi0"", ""pi_plus"", ""rho_770""]",10,0.0002
cluster,"[""B0"", ""Bs0"", ""D0"", ""D_plus"", ""Ds_plus"", ""J_psi"", ""K_plus"", ""Lambda"", ""Upsilon_1S"", ""Xi_minus"", ""electron"", ""muon"", ""neutron"", ""phi_1020"", ""proton"", ""tau"", ""top""]",17,0.0002
cluster,"[""B_plus"", ""Delta_1232"", ""K_plus"", ""Lambda"", ""Omega_minus"", ""Sigma_plus"", ""eta"", ""muon"", ""phi_1020"", ""pi0"", ""proton"", ""rho_770"", ""top""]",13,0.0002
cluster,"[""B0"", ""Bs0"", ""D0"", ""D_plus"", ""Ds_plus"", ""Higgs"", ""J_psi"", ""K_long"", ""K_short"", ""Upsilon_1S"", ""W"", ""Xi_minus"", ""Z"", ""electron"", ""neutron"", ""omega_782"", ""pi_plus"", ""tau""]",18,0.0002
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""D0"", ""D_plus"", ""Delta_1232"", ""Ds_plus"", ""Higgs"", ""J_psi"", ""K_long"", ""K_plus"", ""K_short"", ""Omega_minus"", ""Sigma_plus"", ""Upsilon_1S"", ""neutron"", ""omega_782"", ""phi_1020"", ""pi0"", ""rho_770"", ""tau"", ""top""]",22,0.0002
cluster,"[""Xi_minus"", ""Z"", ""eta""]",3,0.0002
cluster,"[""Delta_1232"", ""eta"", ""proton"", ""rho_770"", ""top""]",5,0.0002
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""D0"", ""D_plus"", ""Ds_plus"", ""Higgs"", ""J_psi"", ""Lambda"", ""Omega_minus"", ""Sigma_plus"", ""Upsilon_1S"", ""W"", ""Xi_minus"", ""Z"", ""electron"", ""muon"", ""neutron"", ""phi_1020"", ""pi0"", ""pi_plus"", ""tau""]",22,0.0002
cluster,"[""electron"", ""phi_1020"", ""pi0""]",3,0.0002
cluster,"[""Omega_minus"", ""Sigma_plus"", ""top""]",3,0.0002
cluster,"[""B0"", ""Bs0"", ""D_plus"", ""Delta_1232"", ""Higgs"", ""Lambda"", ""Upsilon_1S"", ""omega_782"", ""pi_plus"", ""proton"", ""rho_770""]",11,0.0002
cluster,"[""B_plus"", ""Ds_plus"", ""Xi_minus""]",3,0.0002
cluster,"[""D0"", ""J_psi"", ""K_long"", ""K_plus"", ""Z"", ""eta"", ""muon"", ""neutron"", ""tau""]",9,0.0002
cluster,"[""Delta_1232"", ""Ds_plus"", ""J_psi"", ""omega_782"", ""pi0""]",5,0.0002
cluster,"[""electron"", ""rho_770"", ""tau""]",3,0.0002
cluster,"[""D0"", ""K_short"", ""pi_plus""]",3,0.0002
cluster,"[""Lambda"", ""Omega_minus"", ""Sigma_plus"", ""Upsilon_1S"", ""Z"", ""neutron"", ""proton""]",7,0.0002
cluster,"[""B0"", ""Bs0"", ""D_plus"", ""Higgs"", ""K_long"", ""K_plus"", ""W"", ""Xi_minus"", ""muon"", ""phi_1020"", ""top""]",11,0.0002
cluster,"[""D0"", ""Delta_1232"", ""K_long"", ""K_plus"", ""K_short"", ""Lambda"", ""Omega_minus"", ""Sigma_plus"", ""Upsilon_1S"", ""Xi_minus"", ""electron"", ""omega_782"", ""proton"", ""tau""]",14,0.0002
cluster,"[""B0"", ""Bs0"", ""Higgs"", ""Z"", ""eta"", ""phi_1020"", ""pi0""]",7,0.0002
cluster,"[""B_plus"", ""D_plus"", ""W"", ""neutron""]",4,0.0002
cluster,"[""Ds_plus"", ""J_psi"", ""muon"", ""pi_plus"", ""top""]",5,0.0002
cluster,"[""B0"", ""Bs0"", ""Delta_1232"", ""Higgs"", ""muon"", ""pi_plus"", ""proton""]",7,0.0002
cluster,"[""B_plus"", ""D_plus"", ""J_psi"", ""K_long"", ""phi_1020"", ""rho_770""]",6,0.0002
cluster,"[""Ds_plus"", ""K_plus"", ""K_short"", ""Lambda"", ""Omega_minus"", ""Sigma_plus"", ""W""]",7,0.0002
cluster,"[""Upsilon_1S"", ""Xi_minus"", ""pi0"", ""top""]",4,0.0002
cluster,"[""D0"", ""electron"", ""eta"", ""neutron"", ""omega_782"", ""tau""]",6,0.0002
cluster,"[""B_plus"", ""J_psi"", ""K_plus"", ""electron""]",4,0.0002
cluster,"[""D_plus"", ""Delta_1232"", ""Lambda"", ""Omega_minus"", ""neutron"", ""pi0""]",6,0.0002
cluster,"[""K_short"", ""Sigma_plus"", ""Upsilon_1S"", ""phi_1020""]",4,0.0002
cluster,"[""Xi_minus"", ""Z"", ""muon"", ""rho_770""]",4,0.0002
cluster,"[""Ds_plus"", ""W"", ""eta"", ""proton""]",4,0.0002
cluster,"[""K_long"", ""pi_plus"", ""top""]",3,0.0002
cluster,"[""D0"", ""Higgs"", ""omega_782"", ""tau""]",4,0.0002
cluster,"[""Delta_1232"", ""K_long"", ""phi_1020"", ""pi_plus""]",4,0.0002
cluster,"[""Ds_plus"", ""Higgs"", ""K_plus"", ""W"", ""Z"", ""electron"", ""neutron"", ""pi0"", ""rho_770"", ""top""]",10,0.0002
cluster,"[""B0"", ""Bs0"", ""D0"", ""J_psi"", ""Lambda"", ""muon"", ""omega_782"", ""tau""]",8,0.0002
cluster,"[""B_plus"", ""Omega_minus"", ""Upsilon_1S""]",3,0.0002
cluster,"[""D_plus"", ""K_short"", ""Sigma_plus"", ""Xi_minus"", ""eta"", ""proton""]",6,0.0002
cluster,"[""Ds_plus"", ""J_psi"", ""Z""]",3,0.0002
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""D0"", ""K_long"", ""K_short"", ""Lambda"", ""Omega_minus"", ""Sigma_plus"", ""Upsilon_1S"", ""W"", ""Xi_minus"", ""eta"", ""omega_782"", ""pi_plus"", ""proton"", ""rho_770"", ""tau"", ""top""]",19,0.0002
cluster,"[""D_plus"", ""Higgs"", ""K_plus"", ""electron"", ""neutron"", ""phi_1020"", ""pi0""]",7,0.0002
cluster,"[""Delta_1232"", ""Ds_plus"", ""K_long"", ""Lambda"", ""Z"", ""eta""]",6,0.0002
cluster,"[""B0"", ""Bs0"", ""Omega_minus"", ""Sigma_plus"", ""W"", ""Xi_minus"", ""omega_782"", ""pi0"", ""pi_plus"", ""rho_770"", ""top""]",11,0.0002
cluster,"[""B_plus"", ""D0"", ""K_plus"", ""K_short"", ""muon"", ""neutron"", ""tau""]",7,0.0002
cluster,"[""D_plus"", ""electron"", ""phi_1020""]",3,0.0002
cluster,"[""Delta_1232"", ""Omega_minus"", ""Z"", ""muon"", ""pi_plus""]",5,0.0002
cluster,"[""B0"", ""Bs0"", ""Ds_plus"", ""K_plus"", ""Sigma_plus"", ""W"", ""Xi_minus"", ""neutron"", ""top""]",9,0.0002
cluster,"[""B_plus"", ""Higgs"", ""K_short"", ""omega_782"", ""rho_770""]",5,0.0002
cluster,"[""D0"", ""J_psi"", ""K_long"", ""Upsilon_1S"", ""eta"", ""phi_1020"", ""pi0"", ""tau""]",8,0.0002
cluster,"[""B_plus"", ""K_long"", ""proton"", ""rho_770""]",4,0.0002
cluster,"[""D0"", ""muon"", ""tau""]",3,0.0002
cluster,"[""B0"", ""Bs0"", ""Delta_1232"", ""Ds_plus"", ""Higgs"", ""J_psi"", ""K_plus"", ""K_short"", ""Omega_minus"", ""Sigma_plus"", ""Upsilon_1S"", ""W"", ""Xi_minus"", ""Z"", ""electron"", ""eta"", ""neutron"", ""omega_782"", ""pi0"", ""top""]",20,0.0002
cluster,"[""B_plus"", ""electron"", ""phi_1020"", ""rho_770""]",4,0.0002
cluster,"[""Higgs"", ""K_plus"", ""tau""]",3,0.0002
cluster,"[""B0"", ""Bs0"", ""D_plus"", ""Delta_1232"", ""Ds_plus"", ""J_psi"", ""K_long"", ""K_short"", ""Omega_minus"", ""Sigma_plus"", ""Upsilon_1S"", ""W"", ""Xi_minus"", ""Z"", ""eta"", ""muon"", ""neutron"", ""omega_782"", ""proton"", ""top""]",20,0.0002
cluster,"[""Delta_1232"", ""W"", ""omega_782"", ""pi0""]",4,0.0002
cluster,"[""B0"", ""Bs0"", ""K_short"", ""phi_1020""]",4,0.0002
cluster,"[""B_plus"", ""Ds_plus"", ""Higgs"", ""K_plus"", ""Lambda"", ""Upsilon_1S"", ""eta"", ""pi_plus"", ""rho_770""]",9,0.0002
cluster,"[""D0"", ""D_plus"", ""K_long"", ""Omega_minus"", ""Sigma_plus"", ""Xi_minus"", ""Z"", ""electron"", ""muon"", ""neutron"", ""proton"", ""tau"", ""top""]",13,0.0002
cluster,"[""Higgs"", ""K_short"", ""Upsilon_1S"", ""eta"", ""phi_1020"", ""pi_plus""]",6,0.0002
cluster,"[""B_plus"", ""Ds_plus"", ""J_psi"", ""K_plus"", ""Lambda"", ""rho_770""]",6,0.0002
cluster,"[""K_long"", ""electron"", ""muon"", ""pi0""]",4,0.0002
cluster,"[""D0"", ""D_plus"", ""Delta_1232"", ""Omega_minus"", ""Sigma_plus"", ""W"", ""Xi_minus"", ""Z"", ""neutron"", ""omega_782"", ""proton"", ""tau"", ""top""]",13,0.0002
cluster,"[""D0"", ""D_plus"", ""Delta_1232"", ""J_psi"", ""K_plus"", ""K_short"", ""phi_1020"", ""pi0"", ""pi_plus"", ""proton"", ""tau""]",11,0.0002
cluster,"[""B0"", ""Bs0"", ""K_long"", ""Lambda"", ""electron"", ""muon"", ""rho_770""]",7,0.0002
cluster,"[""Higgs"", ""Omega_minus"", ""Sigma_plus"", ""Upsilon_1S"", ""W"", ""Xi_minus"", ""Z"", ""eta"", ""neutron"", ""omega_782"", ""top""]",11,0.0002
cluster,"[""D0"", ""D_plus"", ""K_long"", ""K_plus"", ""K_short"", ""muon""]",6,0.0002
cluster,"[""B0"", ""Bs0"", ""Lambda"", ""Upsilon_1S"", ""electron"", ""eta"", ""proton"", ""rho_770"", ""tau""]",9,0.0002
cluster,"[""B_plus"", ""Higgs"", ""pi0"", ""top""]",4,0.0002
cluster,"[""Delta_1232"", ""Ds_plus"", ""J_psi"", ""Omega_minus"", ""Sigma_plus"", ""W"", ""Xi_minus"", ""Z"", ""neutron"", ""omega_782"", ""phi_1020"", ""pi_plus""]",12,0.0002
cluster,"[""Delta_1232"", ""Ds_plus"", ""K_plus"", ""Sigma_plus"", ""eta"", ""muon"", ""neutron"", ""pi_plus""]",8,0.0002
cluster,"[""K_long"", ""Upsilon_1S"", ""pi0""]",3,0.0002
cluster,"[""Higgs"", ""K_short"", ""rho_770""]",3,0.0002
cluster,"[""D0"", ""D_plus"", ""J_psi"", ""Lambda"", ""electron"", ""top""]",6,0.0002
cluster,"[""B0"", ""Bs0"", ""Z"", ""omega_782"", ""tau""]",5,0.0002
cluster,"[""B_plus"", ""Omega_minus"", ""W"", ""Xi_minus"", ""phi_1020""]",5,0.0002
cluster,"[""Ds_plus"", ""J_psi"", ""neutron""]",3,0.0002
cluster,"[""K_short"", ""Lambda"", ""proton"", ""top""]",4,0.0002
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""D0"", ""D_plus"", ""Delta_1232"", ""Omega_minus"", ""Upsilon_1S"", ""W"", ""Xi_minus"", ""Z"", ""electron"", ""eta"", ""muon"", ""omega_782"", ""phi_1020"", ""pi0"", ""pi_plus"", ""tau""]",19,0.0002
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""D0"", ""D_plus"", ""J_psi"", ""K_long"", ""K_plus"", ""Omega_minus"", ""Xi_minus"", ""electron"", ""pi_plus"", ""tau""]",13,0.0002
cluster,"[""Sigma_plus"", ""eta"", ""pi0"", ""proton"", ""rho_770"", ""top""]",6,0.0002
cluster,"[""Ds_plus"", ""K_short"", ""Lambda"", ""Upsilon_1S"", ""W"", ""Z"", ""neutron"", ""omega_782"", ""phi_1020""]",9,0.0002
cluster,"[""Delta_1232"", ""Higgs"", ""muon""]",3,0.0002
cluster,"[""B0"", ""Bs0"", ""D0"", ""D_plus"", ""K_long"", ""K_plus"", ""Omega_minus"", ""Upsilon_1S"", ""Xi_minus"", ""eta"", ""proton"", ""top""]",12,0.0002
cluster,"[""B_plus"", ""Sigma_plus"", ""Z"", ""electron"", ""omega_782"", ""phi_1020"", ""rho_770"", ""tau""]",8,0.0002
cluster,"[""Ds_plus"", ""J_psi"", ""K_short"", ""Lambda"", ""muon""]",5,0.0002
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""D0"", ""D_plus"", ""Ds_plus"", ""Higgs"", ""J_psi"", ""K_long"", ""K_plus"", ""Omega_minus"", ""Sigma_plus"", ""W"", ""Xi_minus"", ""Z"", ""electron"", ""neutron"", ""omega_782"", ""phi_1020"", ""pi0"", ""pi_plus"", ""proton"", ""rho_770"", ""top""]",24,0.0002
cluster,"[""Delta_1232"", ""eta"", ""muon"", ""tau""]",4,0.0002
cluster,"[""Higgs"", ""Lambda"", ""pi0"", ""tau"", ""top""]",5,0.0002
cluster,"[""Ds_plus"", ""J_psi"", ""K_long"", ""K_plus"", ""K_short"", ""Omega_minus"", ""W"", ""Xi_minus"", ""Z"", ""eta"", ""omega_782"", ""phi_1020"", ""pi_plus"", ""proton"", ""rho_770""]",15,0.0002
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""D0"", ""D_plus"", ""Delta_1232"", ""Sigma_plus"", ""Upsilon_1S"", ""electron"", ""muon"", ""neutron""]",11,0.0002
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""D0"", ""D_plus"", ""J_psi"", ""K_long"", ""K_plus"", ""K_short"", ""Lambda"", ""Sigma_plus"", ""Upsilon_1S"", ""W"", ""Z"", ""eta"", ""neutron"", ""omega_782"", ""phi_1020"", ""pi_plus"", ""rho_770"", ""tau"", ""top""]",22,0.0002
