record_type,members,member_count,persistence_neighbor_score
cluster,"[""D0"", ""Ds_plus"", ""Higgs"", ""J_psi"", ""K_long"", ""W"", ""Z"", ""neutron"", ""tau""]",9,0.013
cluster,"[""D0"", ""Ds_plus"", ""Higgs"", ""J_psi"", ""K_long"", ""K_short"", ""W"", ""Z""]",8,0.013
cluster,"[""W"", ""Z"", ""neutron"", ""proton"", ""tau""]",5,0.013
cluster,"[""D_plus"", ""Delta_1232"", ""K_short"", ""Upsilon_1S"", ""phi_1020""]",5,0.0128
cluster,"[""Delta_1232"", ""eta"", ""neutron"", ""pi0"", ""tau""]",5,0.0128
cluster,"[""D_plus"", ""Delta_1232"", ""Higgs"", ""J_psi"", ""K_plus"", ""Omega_minus"", ""Sigma_plus"", ""Xi_minus"", ""electron"", ""muon"", ""pi_plus""]",11,0.0128
cluster,"[""D0"", ""Delta_1232"", ""K_long"", ""eta"", ""phi_1020"", ""pi0"", ""tau""]",7,0.0126
cluster,"[""Ds_plus"", ""K_long"", ""rho_770""]",3,0.0124
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""Lambda"", ""phi_1020""]",5,0.0124
cluster,"[""Omega_minus"", ""Sigma_plus"", ""electron"", ""omega_782"", ""pi_plus"", ""top""]",6,0.0124
cluster,"[""K_short"", ""Upsilon_1S"", ""W"", ""Z"", ""muon""]",5,0.0122
cluster,"[""D_plus"", ""K_short"", ""neutron"", ""rho_770""]",4,0.0122
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""Delta_1232"", ""Higgs"", ""J_psi"", ""K_long"", ""Lambda"", ""Xi_minus"", ""electron""]",10,0.0122
cluster,"[""Delta_1232"", ""Ds_plus"", ""K_short"", ""electron""]",4,0.012
cluster,"[""D_plus"", ""Higgs"", ""J_psi"", ""K_plus"", ""Omega_minus"", ""Sigma_plus"", ""muon"", ""neutron"", ""pi_plus"", ""proton""]",10,0.012
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""Lambda"", ""neutron"", ""phi_1020"", ""rho_770""]",7,0.0118
cluster,"[""Ds_plus"", ""W"", ""Z"", ""eta"", ""muon""]",5,0.0112
cluster,"[""neutron"", ""pi0"", ""tau""]",3,0.011
cluster,"[""D_plus"", ""Higgs"", ""J_psi"", ""Sigma_plus"", ""pi_plus""]",5,0.011
cluster,"[""Upsilon_1S"", ""omega_782"", ""proton"", ""tau"", ""top""]",5,0.011
cluster,"[""Sigma_plus"", ""omega_782"", ""top""]",3,0.0108
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""K_plus"", ""Lambda"", ""Xi_minus"", ""electron"", ""eta"", ""muon"", ""pi0"", ""proton""]",11,0.0108
cluster,"[""Sigma_plus"", ""W"", ""Z"", ""pi_plus""]",4,0.0108
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""K_long"", ""electron""]",5,0.0108
cluster,"[""D_plus"", ""Delta_1232"", ""Higgs"", ""J_psi"", ""K_plus"", ""Omega_minus"", ""Sigma_plus"", ""electron"", ""muon"", ""pi_plus""]",10,0.0106
cluster,"[""D0"", ""K_long"", ""eta"", ""phi_1020"", ""pi0"", ""proton"", ""rho_770"", ""tau""]",8,0.0104
cluster,"[""D_plus"", ""Delta_1232"", ""K_plus"", ""Omega_minus"", ""Sigma_plus"", ""muon"", ""phi_1020"", ""pi_plus"", ""proton"", ""rho_770""]",10,0.0104
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""K_plus"", ""Lambda"", ""Xi_minus"", ""muon"", ""neutron"", ""omega_782"", ""rho_770"", ""tau"", ""top""]",12,0.0102
cluster,"[""D_plus"", ""Delta_1232"", ""Higgs"", ""J_psi"", ""K_plus"", ""Omega_minus"", ""Sigma_plus"", ""muon"", ""neutron"", ""pi_plus"", ""proton""]",11,0.0102
cluster,"[""D0"", ""K_plus"", ""Lambda"", ""W"", ""Z""]",5,0.01
cluster,"[""Ds_plus"", ""Higgs"", ""J_psi"", ""K_short""]",4,0.01
cluster,"[""Delta_1232"", ""K_long"", ""eta"", ""pi0"", ""proton"", ""tau""]",6,0.01
cluster,"[""D_plus"", ""Lambda"", ""pi_plus""]",3,0.0098
cluster,"[""Delta_1232"", ""Sigma_plus"", ""phi_1020""]",3,0.0098
cluster,"[""D0"", ""Ds_plus"", ""Higgs"", ""J_psi"", ""K_long"", ""W"", ""Z""]",7,0.0098
