base,top_k,area,perimeter,symmetry_score,compactness,midpoint_angles_deg
1.2,3,1.162174074311153,5.068747909956606,0.03940769231698806,0.5684334965880782,"[30.6743382642729, 168.55947487013452, 307.2379728444021]"
1.2,4,1.7002172075516144,5.429673352506601,0.03946446875784509,0.7247143562782138,"[30.6743382642729, 78.98247055759441, 168.55947487013452, 307.2379728444021]"
1.2,5,2.2872238440147177,5.822377968671595,0.06207075150452953,0.8478475001988592,"[30.6743382642729, 78.98247055759441, 168.55947487013452, 226.47472372811797, 307.2379728444021]"
1.2,6,2.4353778347653803,5.904666727622466,0.05624270240866243,0.877779497807832,"[3.246217792165416, 30.6743382642729, 78.98247055759441, 168.55947487013452, 226.47472372811797, 307.2379728444021]"
1.40418410041841,3,0.4729019804080531,4.413975333115335,0.016127142393998338,0.3050149968581334,"[81.42541747037731, 109.9145192372086, 293.37514498426594]"
1.40418410041841,4,1.3580053862183783,5.179906907530473,0.021508532533296706,0.6360151298860378,"[81.42541747037731, 109.9145192372086, 170.43906440775618, 293.37514498426594]"
1.40418410041841,5,1.6326538406908797,5.356864737975336,0.02362768016063608,0.7149614362657744,"[81.42541747037731, 109.9145192372086, 170.43906440775618, 194.1173151512583, 293.37514498426594]"
1.40418410041841,6,2.328344870386287,5.841369052713583,0.04235335126274442,0.8574876637569028,"[10.146396338963395, 81.42541747037731, 109.9145192372086, 170.43906440775618, 194.1173151512583, 293.37514498426594]"
1.60836820083682,3,0.8331647867865102,4.694729799635828,0.023419146290070837,0.4750283907094656,"[102.52568340047681, 284.8596131719856, 342.30945603043494]"
1.60836820083682,4,1.7065865693964604,5.445402767078353,0.030855777249327594,0.7232328967334368,"[102.52568340047681, 225.12713940425382, 284.8596131719856, 342.30945603043494]"
1.60836820083682,5,2.079873039517742,5.678820877109135,0.039719850430875316,0.8104576927476338,"[64.14882112443031, 102.52568340047681, 225.12713940425382, 284.8596131719856, 342.30945603043494]"
1.60836820083682,6,2.5357053216354646,5.963649165097678,0.10932617465457466,0.8959514428062952,"[64.14882112443031, 102.52568340047681, 162.9585124802961, 225.12713940425382, 284.8596131719856, 342.30945603043494]"
1.81255230125523,3,1.056301000288805,4.922699737483729,0.029263360445143213,0.5477606900030583,"[2.0265714990836634, 110.91223868026802, 280.6708766897982]"
1.81255230125523,4,1.2136462646530009,5.0093056451963704,0.019871963905062764,0.6077807282969234,"[2.0265714990836634, 110.91223868026802, 280.6708766897982, 322.5351750342106]"
1.81255230125523,5,1.4691771073183162,5.163566458799138,0.022911804437638468,0.6924437097539269,"[2.0265714990836634, 30.056816869476325, 110.91223868026802, 280.6708766897982, 322.5351750342106]"
1.81255230125523,6,1.8880580768612414,5.516804846894297,0.027756357033729865,0.7795607601211391,"[2.0265714990836634, 30.056816869476325, 110.91223868026802, 136.44295037409177, 280.6708766897982, 322.5351750342106]"
2.01673640167364,3,1.2195638986741408,5.117970385366916,0.054186908636483976,0.5850848959496733,"[95.28846012667479, 237.67814141515203, 331.49617841440516]"
2.01673640167364,4,1.7238595664760408,5.467135555977118,0.03843480393113765,0.7247564062932158,"[95.28846012667479, 197.71431164209875, 237.67814141515203, 331.49617841440516]"
2.01673640167364,5,2.0999558381175625,5.706551613760709,0.03530242339225864,0.810349794562814,"[59.56895798569909, 95.28846012667479, 197.71431164209875, 237.67814141515203, 331.49617841440516]"
2.01673640167364,6,2.3001237834717356,5.825115176887398,0.035684603479565744,0.8518282500960319,"[59.56895798569909, 95.28846012667479, 174.46751424189574, 197.71431164209875, 237.67814141515203, 331.49617841440516]"
2.22092050209205,3,0.3549056361797942,3.7276339029612373,0.012578850073308253,0.32096394871387934,"[25.85083633782304, 59.62146777580627, 148.1030520603928]"
2.22092050209205,4,1.6373702194340174,5.404703136164387,0.033474044672741135,0.7043898060677409,"[25.85083633782304, 59.62146777580627, 148.1030520603928, 255.98213413121115]"
2.22092050209205,5,1.8044937547422224,5.498892012773181,0.02597462392270615,0.7499198773837014,"[25.85083633782304, 59.62146777580627, 86.79433888175365, 148.1030520603928, 255.98213413121115]"
2.22092050209205,6,2.312851354589786,5.826372509752017,0.04470771278325814,0.8561721370053936,"[25.85083633782304, 59.62146777580627, 86.79433888175365, 148.1030520603928, 255.98213413121115, 310.9361158637873]"
2.4251046025104603,3,0.5916093327661868,4.229670965633727,0.01559604833018547,0.41555806211733365,"[77.47652435252441, 173.5309100270038, 222.79831508801374]"
2.4251046025104603,4,0.807221860556018,4.353701841492439,0.0157880349873268,0.5351621767631123,"[77.47652435252441, 142.00987484457386, 173.5309100270038, 222.79831508801374]"
2.4251046025104603,5,1.5851626084864,5.2510359979424965,0.025850132050965178,0.7224265399218457,"[29.009619891837975, 77.47652435252441, 142.00987484457386, 173.5309100270038, 222.79831508801374]"
2.4251046025104603,6,2.3986747027650854,5.878284333307473,0.05581950397643221,0.8723284580243664,"[29.009619891837975, 77.47652435252441, 142.00987484457386, 173.5309100270038, 222.79831508801374, 325.9401928347277]"
2.6292887029288705,3,0.8226212857644005,4.5561051142277655,0.018624494002551242,0.49799196621097275,"[60.780192068875465, 139.4337862170203, 338.47288702665975]"
2.6292887029288705,4,0.9439988115929494,4.622788812702842,0.01801167323417642,0.5551025270052924,"[60.780192068875465, 84.91842709781643, 139.4337862170203, 338.47288702665975]"
2.6292887029288705,5,1.886654639942806,5.539304873184403,0.03200993057508121,0.7726658802418814,"[60.780192068875465, 84.91842709781643, 139.4337862170203, 201.17942911545074, 338.47288702665975]"
