frequency_cycles_per_base,period_base_units,power,normalized_power
0.0,,25.867050373359753,0.25793165138571444
0.020487704918033103,48.80976195238972,38.86983409113764,0.38758808412656565
0.04097540983606621,24.40488097619486,28.289200829729534,0.28208397096211046
0.06146311475409931,16.269920650796575,0.5425925450325798,0.005410427132193087
0.08195081967213241,12.20244048809743,100.28645276526308,1.0
0.10243852459016552,9.761952390477944,26.153053125385757,0.26078350967903186
0.12292622950819862,8.134960325398287,20.574376694623336,0.2051560916486003
0.14341393442623174,6.972823136055674,5.829071332228245,0.058124214901409905
0.16390163934426483,6.101220244048715,52.124527522644215,0.5197564185927509
0.18438934426229792,5.423306883598858,69.63649284003301,0.6943758695207684
0.20487704918033103,4.880976195238972,61.14073616652802,0.6096609709552492
0.22536475409836415,4.437251086580884,28.154606880324444,0.28074187593637323
0.24585245901639724,4.067480162699144,26.770097660903804,0.26693633010994633
0.26634016393443033,3.754597073260748,64.94765922340949,0.6476214626459085
0.2868278688524635,3.486411568027837,81.238673025515,0.8100662730156332
0.30731557377049656,3.253984130159315,78.47738293316806,0.7825322440794398
0.32780327868852965,3.0506101220243576,1.4529414861543697,0.014487913831743734
0.34829098360656274,2.871162467787631,44.54356288999966,0.4441633108138862
0.36877868852459583,2.711653441799429,31.183256969082557,0.3109418681112602
0.389266393442629,2.568934839599459,35.89440919168923,0.3579188235494378
0.40975409836066207,2.440488097619486,2.6517474479431087,0.026441731408627638
0.43024180327869516,2.324274378685225,22.27341224325566,0.22209791680826763
0.4507295081967283,2.218625543290442,8.574477872858804,0.08549986200956552
0.4712172131147614,2.1221635631473794,60.01981118218538,0.5984837386029757
0.4917049180327945,2.033740081349572,3.344050267481537,0.0333449850430829
0.5121926229508276,1.952390478095589,7.617063716255597,0.07595306750039894
0.5326803278688607,1.877298536630374,9.178692501677618,0.09152474983995951
0.5531680327868937,1.8077689611996195,71.63265485037131,0.714280472338964
0.573655737704927,1.7432057840139186,7.411069894984189,0.07389901318307684
0.59414344262296,1.6830952397375767,16.50757314109046,0.16460421807648484
0.6146311475409931,1.6269920650796574,8.681612596049288,0.0865681491035487
0.6351188524590262,1.5745084500770878,44.88494122700238,0.44756734323890146
0.6556065573770593,1.5253050610121788,16.46979400181955,0.16422750578654735
0.6760942622950924,1.4790836955269613,13.231556145742786,0.13193762248938465
0.6965819672131255,1.4355812338938154,10.451106850780835,0.10421254878007669
0.7170696721311586,1.3945646272111352,12.723389042011181,0.12687046646063316
0.7375573770491917,1.3558267208997146,15.581147727412393,0.15536642585098337
0.7580450819672249,1.3191827554699924,1.7812845797883203,0.017761966154668064
0.778532786885258,1.2844674197997294,15.117867426417213,0.15074685572739388
0.799020491803291,1.2515323577535826,94.15754195933198,0.938885954813091
0.8195081967213241,1.220244048809743,74.91768042795808,0.7470368964322152
0.8399959016393572,1.1904819988387738,32.18734026725369,0.32095402100414744
0.8604836065573903,1.1621371893426125,14.07096224246771,0.14030770711776105
0.8809713114754234,1.1351107430788308,8.68640109570049,0.08661589732396298
0.9014590163934566,1.109312771645221,11.220224800272451,0.11188175960850097
0.9219467213114897,1.0846613767197717,7.279154223686973,0.07258362443754023
0.9424344262295228,1.0610817815736897,12.278828013882675,0.1224375543785888
0.9629221311475559,1.0385055734551005,20.523066695101555,0.20464445724428168
0.983409836065589,1.016870040674786,16.94417857904784,0.1689578014959655
