from_entity,to_entity,from_compton_frequency_hz,to_compton_frequency_hz,absolute_frequency_difference_hz,folded_frequency_ratio,frequency_octave_separation,nearest_integer_octaves,octave_residual,geometric_mean_frequency_hz
eta,Higgs,1.3247244221471272e+23,3.027322531090317e+25,3.0140752868688457e+25,228.52470147591913,7.83620630591469,8,0.1637936940853102,2.0025903451908478e+24
K_long,Z,1.203218044743118e+23,2.204916030072395e+25,2.192883849624964e+25,183.25157603027267,7.51768179588978,8,0.48231820411021964,1.6288016314230732e+24
pi_plus,rho_770,3.374797015335964e+22,1.8745703398187536e+23,1.5370906382851573e+23,5.554616563011682,2.473687325343568,2,0.47368732534356806,7.953800593337536e+22
B_plus,Lambda,1.2765556584555537e+24,2.6977094915770276e+23,1.006784709297851e+24,4.731998246813835,2.242449539165137,2,0.24244953916513712,5.8683697193870715e+23
K_short,neutron,1.203218044743118e+23,2.2718590824858967e+23,1.0686410377427787e+23,1.8881524362202606,0.9169752425077112,1,0.08302475749228877,1.6533426272737827e+23
