base_name,base_value,avg_nearest_neighbor_distance,family_compactness,interaction_compactness,cluster_count,silhouette_score,largest_gap_z,largest_angular_gap_deg
2,2.0,1.1372170239318553,6.656662747577753,6.015706601016489,5,0.49229218124771956,9.55088910258025,79.49036238810933
e,2.718281828459045,1.1221055735964751,6.645495436007091,6.042965655892674,5,0.5060033623031333,9.55088910258025,34.86730070154387
pi,3.141592653589793,1.1586643663170186,6.644402988132004,6.033502488615323,5,0.2690929244856346,9.55088910258025,44.484155084743264
phi,1.618033988749895,1.2081754680137282,6.62131683082449,6.032165821051076,5,0.2891379973095329,9.55088910258025,43.824843688548754
10,10.0,1.1375329146378526,6.633493042757765,6.039039040612888,4,0.6373538190671297,9.55088910258025,31.89223863664338
2pi,6.283185307179586,1.117522170509828,6.648526936079352,6.038829276011548,4,0.682464272258549,9.55088910258025,41.34233210668759
sqrt2pi,2.5066282746310002,1.1019724620909521,6.64246758550153,6.016568373866415,4,0.45923008144634736,9.55088910258025,33.647459741535926
pi2,9.869604401089358,1.1356649703576946,6.629715049548703,6.0391406082910315,4,0.6398298287570621,9.55088910258025,41.316677619207624
epi,23.140692632779263,1.1212706846978477,6.645517677716631,6.016420125012647,3,0.6750967766086614,9.55088910258025,70.48757465571833
