base,score,base_index
4.763112622524504,0.0108177721553219,365
2.742388477695539,0.0117413162917101,158
22.00272054410882,0.0118920796237851,2131
1.9614322864572915,0.0120308500542308,78
46.37831566313263,0.0120417958071858,4628
24.326065213042607,0.0123249370926935,2369
2.7814362872574514,0.0123403442529976,162
24.374874974995,0.012381010660302,2374
15.18887777555511,0.0124002276987025,1433
12.27005401080216,0.0124560857475442,1134
4.821684336867373,0.0127837489503639,371
8.667893578715743,0.0129123500676323,765
11.371954390878177,0.0129240850978343,1042
2.3031006201240247,0.0130126176816551,113
1.707621524304861,0.0130256165903226,52
9.24384876975395,0.0130666572443763,824
2.4885777155431086,0.0131370295991099,132
25.653690738147628,0.0131602210822496,2505
13.246249249849969,0.0132109243939089,1234
4.431206241248249,0.0132231323097402,331
2.351910382076415,0.0132516933509858,118
2.9376275255051008,0.0132548394447273,178
27.06917383476695,0.0133018872154189,2650
7.584316863372674,0.0135224262227164,654
5.66121224244849,0.0135606137683274,457
1.6392878575715142,0.0136023435553873,45
13.324344868973794,0.0136460646375145,1242
1.502620524104821,0.0137504953314615,31
18.341988397679533,0.0138449807580537,1756
19.35723144628925,0.0139404436116166,1860
5.71002200440088,0.0140154211644036,462
32.9751550310062,0.0140487342245391,3255
13.929585917183436,0.0140676726081243,1304
29.12894578915783,0.0142769568207355,2861
19.03508701740348,0.0143110589169715,1827
3.054770954190838,0.0143130010326382,190
11.879575915183036,0.0145152147812071,1094
8.082176435287057,0.0145896253328877,705
5.934546909381877,0.0146399456567486,485
13.177915583116622,0.014655703060184,1227
15.85269053810762,0.0146766052737177,1501
1.619763952790558,0.0147110263169407,43
2.137147429485897,0.0147509920547641,96
14.173634726945387,0.0147667424325537,1329
8.384796959391878,0.0147826606088584,736
14.261492298459691,0.0148248695221205,1338
1.7759551910382076,0.0149126291308526,59
9.107181436287258,0.0149335830576527,810
2.722864572914583,0.0149694778458688,156
17.668413682736546,0.0149850319404023,1687
47.03236647329466,0.0149904273665486,4695
25.53654730946189,0.0150231682761132,2493
6.315263052610522,0.0150943606109933,524
8.462892578515703,0.0151120974912372,744
4.265253050610122,0.0151135200038399,314
6.1785957191438285,0.0151379284653796,510
11.81124224844969,0.0151605808674267,1087
25.39011802360472,0.0151676773910607,2478
25.59511902380476,0.0152298963378373,2499
13.558631726345268,0.0153116178965497,1266
3.796679335867173,0.0154199683642835,266
19.113182636527306,0.0154300796684843,1835
39.6132826565313,0.0154910656066401,3935
1.4440488097619524,0.015520859653885,25
22.30534106821364,0.0155464107176382,2162
3.982156431286257,0.0156751117223526,285
1.8540508101620323,0.0156833170372998,67
2.5569113822764558,0.0156927681858599,139
4.704540908181636,0.015693792658833,359
12.767913582716542,0.015770484628944,1185
5.573354670934187,0.0157999945794654,448
40.452810562112425,0.0158056579058675,4021
4.353110622124425,0.0158500848498235,323
26.903220644128822,0.0158803738131465,2633
2.264052810562112,0.0159174859068914,109
26.825125025005,0.0159281794960297,2625
7.105981196239248,0.0159453606438718,605
2.176195239047809,0.015950600244809,100
15.423164632926584,0.0160703167838691,1457
5.5440688137627525,0.0160911772400966,445
22.588437687537507,0.0161028953575909,2191
