base_index,base,top_k,selected_gaps,midpoint_angles_deg,midpoint_x,midpoint_y,area,centroid_x,centroid_y,centroid_radius,side_lengths,angular_spacing_deg,symmetry_score
377,4.8802560512102415,3,"[""Ds_plus -> Omega_minus"", ""neutron -> phi_1020"", ""proton -> B0""]","[90.07967887983, 210.011522590634, 288.918109464714]","[-0.001390658349, -0.8659248327, 0.324216431009]","[0.999999033034, -0.500174153784, -0.945982931063]",1.0854174677631845,-0.18103302001316082,-0.1487193506044935,0.23428700258295967,"[1.731455725414, 1.270897987048, 1.973034662958]","[119.931843710804, 78.90658687408, 161.161569415116]",0.03516045050767665
377,4.8802560512102415,4,"[""Ds_plus -> Omega_minus"", ""neutron -> phi_1020"", ""proton -> B0"", ""K_plus -> Z""]","[26.259414175599, 90.07967887983, 210.011522590634, 288.918109464714]","[0.896800057697, -0.001390658349, -0.8659248327, 0.324216431009]","[0.442436047938, 0.999999033034, -0.500174153784, -0.945982931063]",1.8685757042802769,0.08842524941435044,-0.0009305009689071497,0.08843014512055954,"[1.057176922157, 1.731455725414, 1.270897987048, 1.501851947031]","[63.820264704231, 119.931843710804, 78.90658687408, 97.341304710885]",0.05092537981740833
377,4.8802560512102415,5,"[""Ds_plus -> Omega_minus"", ""neutron -> phi_1020"", ""proton -> B0"", ""K_plus -> Z"", ""Upsilon_1S -> Ds_plus""]","[26.259414175599, 90.07967887983, 177.059969875643, 210.011522590634, 288.918109464714]","[0.896800057697, -0.001390658349, -0.998683766303, -0.8659248327, 0.324216431009]","[0.442436047938, 0.999999033034, 0.051290690412, -0.500174153784, -0.945982931063]",2.206536502411393,-0.1289965537291161,0.009513737307178504,0.12934690592178358,"[1.057176922157, 1.376459611661, 0.567219894605, 1.270897987048, 1.501851947031]","[63.820264704231, 86.980290995813, 32.951552714991, 78.90658687408, 97.341304710885]",0.050273303190580355
377,4.8802560512102415,6,"[""Ds_plus -> Omega_minus"", ""neutron -> phi_1020"", ""proton -> B0"", ""K_plus -> Z"", ""Upsilon_1S -> Ds_plus"", ""W -> neutron""]","[26.259414175599, 62.500130817512, 90.07967887983, 177.059969875643, 210.011522590634, 288.918109464714]","[0.896800057697, 0.461746588014, -0.001390658349, -0.998683766303, -0.8659248327, 0.324216431009]","[0.442436047938, 0.887011887439, 0.999999033034, 0.051290690412, -0.500174153784, -0.945982931063]",2.2849085926039034,-0.030539363438601374,0.15576342899575507,0.1587290097359352,"[0.622028294012, 0.476720257634, 1.376459611661, 0.567219894605, 1.270897987048, 1.501851947031]","[36.240716641913, 27.579548062318, 86.980290995813, 32.951552714991, 78.90658687408, 97.341304710885]",0.03479140937697037
378,4.89001800360072,3,"[""neutron -> phi_1020"", ""omega_782 -> B0"", ""Ds_plus -> Omega_minus""]","[80.901388398289, 201.815346495931, 273.088158085601]","[0.158134140077, -0.928386323859, 0.053872433877]","[0.987417638967, -0.37161651426, -0.998547826029]",1.00804844939451,-0.2387932499686114,-0.12758223377440334,0.27073869801976636,"[1.739971421659, 1.165278995274, 1.988700412716]","[120.913958097642, 71.27281158967, 167.813230312688]",0.029864303527121192
378,4.89001800360072,4,"[""neutron -> phi_1020"", ""omega_782 -> B0"", ""Ds_plus -> Omega_minus"", ""K_plus -> Lambda""]","[17.594339240125, 80.901388398289, 201.815346495931, 273.088158085601]","[0.953220536953, 0.158134140077, -0.928386323859, 0.053872433877]","[0.302275715087, 0.987417638967, -0.37161651426, -0.998547826029]",1.833272545322804,0.059210196761725634,-0.020117746558978633,0.06253455946253689,"[1.049562687196, 1.739971421659, 1.165278995274, 1.581445192104]","[63.307049158164, 120.913958097642, 71.27281158967, 104.506181154524]",0.0421761730678309
378,4.89001800360072,5,"[""neutron -> phi_1020"", ""omega_782 -> B0"", ""Ds_plus -> Omega_minus"", ""K_plus -> Lambda"", ""D_plus -> eta""]","[17.594339240125, 80.901388398289, 201.815346495931, 273.088158085601, 346.602852325101]","[0.953220536953, 0.158134140077, -0.928386323859, 0.053872433877, 0.972787413986]","[0.302275715087, 0.987417638967, -0.37161651426, -0.998547826029, -0.231699476027]",2.086113860067055,0.24192564020652485,-0.06243409245249047,0.24985201878252464,"[1.049562687196, 1.739971421659, 1.165278995274, 1.196854683147, 0.534333573156]","[63.307049158164, 120.913958097642, 71.27281158967, 73.5146942395, 30.991486915024]",0.04723339608338475
378,4.89001800360072,6,"[""neutron -> phi_1020"", ""omega_782 -> B0"", ""Ds_plus -> Omega_minus"", ""K_plus -> Lambda"", ""D_plus -> eta"", ""Upsilon_1S -> Ds_plus""]","[17.594339240125, 80.901388398289, 171.851365880123, 201.815346495931, 273.088158085601, 346.602852325101]","[0.953220536953, 0.158134140077, -0.989903700511, -0.928386323859, 0.053872433877, 0.972787413986]","[0.302275715087, 0.987417638967, 0.141741538423, -0.37161651426, -0.998547826029, -0.231699476027]",2.4068029827938897,0.03662075008693779,-0.028404820639841292,0.0463455841748867,"[1.049562687196, 1.425888828223, 0.517030828757, 1.165278995274, 1.196854683147, 0.534333573156]","[63.307049158164, 90.949977481834, 29.963980615808, 71.27281158967, 73.5146942395, 30.991486915024]",0.048352366930814024
379,4.899779955991198,3,"[""W -> muon"", ""eta -> Lambda"", ""D_plus -> K_plus""]","[9.613346020467, 73.807534905614, 339.670089305561]","[0.985957164545, 0.278864816449, 0.937707692499]","[0.166998412218, 0.96033036719, -0.347425219909]",0.20101143097051505,0.7341765578308511,0.259967853166085,0.7788443379444574,"[1.062711239949, 1.464342381723, 0.51668141523]","[64.194188885147, 265.862554399946, 29.943256714907]",0.010178976647818918
379,4.899779955991198,4,"[""W -> muon"", ""eta -> Lambda"", ""D_plus -> K_plus"", ""proton -> Omega_minus""]","[9.613346020467, 73.807534905614, 199.852124474967, 339.670089305561]","[0.985957164545, 0.278864816449, -0.940572214953, 0.937707692499]","[0.166998412218, 0.96033036719, -0.339593740312, -0.347425219909]",1.4265970952522447,0.3154893646350065,0.1100774547964891,0.33414156468819195,"[1.062711239949, 1.782366224663, 1.87829623404, 0.51668141523]","[64.194188885147, 126.044589569352, 139.817964830594, 29.943256714907]",0.022762825570675858
