control,replicate,base,angular_entropy,circular_resultant_R,largest_angular_gap,top_3_gap_sum,top_5_gap_sum,dbscan_cluster_count,average_nearest_neighbor_distance_3d,persistent_neighbor_stability,radial_spiral_fit_R2,fitted_k,golden_k,golden_spiral_error,golden_spiral_relative_error,family_compactness,interaction_compactness,geometry_coherence_score,observed_phi_score,empirical_p_value_score_ge_observed
observed,-1,1.618033988749895,3.272664841643534,0.26765931236540497,0.7648878165370321,2.0180872629360245,2.9932090062412104,3,0.7691987352791982,1.0,0.038160157608836065,-0.10969264305688184,0.30634896253003313,0.41604160558691494,1.3580643529880667,0.13521733345392856,0.1482855976155291,-1.1647578339532458,-1.1647578339532458,
shuffle_lifetimes,0,1.618033988749895,3.2486349791600855,0.24348532554267197,0.7401203616831233,1.9981792481503409,3.0196916625941848,3,0.9121224887120858,0.9310344827586207,0.030478465494685802,-0.04587014807060685,0.30634896253003313,0.35221911060064,1.1497316905916075,0.1266921809836476,0.11412097447882917,-1.0631328538707745,-1.1647578339532458,0.7128712871287128
shuffle_lifetimes,1,1.618033988749895,3.1247167707658337,0.25424538392283474,1.2827597914065105,2.868071544587403,3.451913530897076,3,0.8271606169289525,0.7241379310344828,0.05845625187929182,-0.11521167035137658,0.30634896253003313,0.4215606328814097,1.3760798450234077,0.12230541266567961,0.1090378188352683,-0.9719272479819605,-1.1647578339532458,0.7128712871287128
shuffle_lifetimes,2,1.618033988749895,3.4695443569727304,0.03429769302755425,0.6063090197882366,1.6048357988975834,2.5284093864085744,3,0.8926585256458153,1.0,0.40309833308238596,0.28273014088235054,0.30634896253003313,0.023618821647682586,0.07709776933018697,0.11948582430246403,0.10691990210917549,-0.8774358757661335,-1.1647578339532458,0.7128712871287128
shuffle_lifetimes,3,1.618033988749895,3.1473037373883717,0.026726150148879375,0.7837153068903895,1.9839589160277256,2.86110014292157,2,0.9658461869302288,0.8620689655172413,0.25360986224697313,0.1456229193763132,0.30634896253003313,0.16072604315371994,0.5246501957321401,0.10314732490443917,0.11447852219768524,-0.6273244968149834,-1.1647578339532458,0.7128712871287128
shuffle_lifetimes,4,1.618033988749895,3.4830050302680124,0.1419383411825813,0.5533395975888891,1.5371652337931654,2.417871622241564,4,0.80787041468825,0.9655172413793104,0.04756763087513127,-0.09580033088688551,0.30634896253003313,0.40214929341691863,1.3127163548905234,0.10866518601335143,0.11872752954358273,-1.4984708481242102,-1.1647578339532458,0.7128712871287128
shuffle_lifetimes,5,1.618033988749895,3.4526400467771077,0.10449630363380358,0.7126293868160847,1.6716682313012168,2.4729312881876147,2,0.8581991921878422,0.9310344827586207,0.003123063611941701,-0.017428564688495272,0.30634896253003313,0.3237775272185284,1.0568912149875052,0.09853049686098954,0.1168320476964691,-1.3515723524691232,-1.1647578339532458,0.7128712871287128
shuffle_lifetimes,6,1.618033988749895,3.112146840538238,0.14622325428620916,0.8188836930744348,2.2663464316314483,3.1008480895737343,3,1.003866287482953,0.896551724137931,0.1934719302874892,0.1813647685426996,0.30634896253003313,0.12498419398733354,0.40797981803212613,0.1282271916699274,0.10246665092142594,-0.5163461654035214,-1.1647578339532458,0.7128712871287128
shuffle_lifetimes,7,1.618033988749895,3.279552115444215,0.12038027916649374,0.5949073898654447,1.5762023663452418,2.310131301646801,4,0.7714431752391392,0.9655172413793104,0.16758300405501858,-0.16161711023041686,0.30634896253003313,0.46796607276045,1.5275588625979846,0.1138766863418318,0.11104219968269892,-1.2480658887948086,-1.1647578339532458,0.7128712871287128
shuffle_lifetimes,8,1.618033988749895,3.1516381173563985,0.01683322674769081,0.8274516545691437,1.909796768050074,2.711562630149747,3,0.8620886925044174,0.9310344827586207,0.7194153529314804,0.12745193901206928,0.30634896253003313,0.17889702351796385,0.5839648420563055,0.10323632705852437,0.1176654289902705,-0.5860808749550274,-1.1647578339532458,0.7128712871287128
