base,family,theta_rad,x,y,resultant_length
1.2,baryon,5.528250860294168,0.303235961041956,-0.2853013780521179,0.4163519237225597
1.2,boson,4.343086511642428,-0.17859618380952397,-0.46141622201917404,0.4947742180164332
1.2,lepton,2.0845345899098486,-0.1579329155846695,0.27988547735854474,0.3213700145646678
1.2,meson,2.453013284647484,-0.04062349049905375,0.033431124443423346,0.052610912003864446
1.2,quark,2.4099970354283524,-0.7441093848896513,0.6680577993850119,1.0
1.40418410041841,baryon,4.142779323155676,-0.12983528589898735,-0.20273522974774896,0.2407462872929598
1.40418410041841,boson,1.1366410998422447,0.2674840109530582,0.5768970566834103,0.63589142951098
1.40418410041841,lepton,2.7582414179165555,-0.4298094179848797,0.17334377343419094,0.46344816277217576
1.40418410041841,meson,2.188740774240646,-0.13814456268360875,0.19434798941975107,0.2384429935866122
1.40418410041841,quark,4.557765983016827,-0.1540076053811857,-0.9880696622631184,1.0
1.60836820083682,baryon,2.7163550185466616,-0.20370808986272387,0.09225317946088352,0.2236238694687165
1.60836820083682,boson,4.994149045901052,0.25637249339935303,-0.8856895666922984,0.9220481895863104
1.60836820083682,lepton,6.026189778752262,0.32325090629033204,-0.08495260444788,0.33422760720802075
1.60836820083682,meson,3.253144876932604,-0.4608920109728697,-0.05162785701839955,0.4637746019338792
1.60836820083682,quark,3.2569236117645,-0.993356753555454,-0.11507545422794971,1.0
1.81255230125523,baryon,4.936784826198696,0.0705323469694292,-0.3090275732282012,0.31697453049784174
1.81255230125523,boson,0.5363508456189165,0.6029205183944566,0.35842423464290124,0.7014136322316453
1.81255230125523,lepton,5.672325169868981,0.7681044260325426,-0.5378266702813698,0.9376790157387158
1.81255230125523,meson,3.99472129653923,-0.12094797510845741,-0.13855088272603833,0.18391508852457011
1.81255230125523,quark,2.572387108333281,-0.842329422671629,0.5389630262844383,1.0
2.01673640167364,baryon,2.7700820966206074,-0.11332306262977188,0.04415088999053727,0.12161997208825416
2.01673640167364,boson,3.162453730465579,-0.34296153993849554,-0.007155585080183805,0.34303617925056246
2.01673640167364,lepton,1.2589592133063185,0.05414537095898647,0.16796849839758202,0.1764798505502109
2.01673640167364,meson,0.4993655177403277,0.06245439982034616,0.03406755943642833,0.07114176454709449
2.01673640167364,quark,4.639671117355536,-0.07265379265693549,-0.9973572210660346,1.0
2.22092050209205,baryon,4.85865952938275,0.05920387082671881,-0.40186520145768034,0.4062028292164997
2.22092050209205,boson,2.0021730916990985,-0.18488610974408984,0.40167447416125834,0.4421823795325036
2.22092050209205,lepton,1.1106967345954646,0.24537656139447167,0.49513725192550984,0.5526034338710906
2.22092050209205,meson,3.996265574906324,-0.3373725762027877,-0.3876809887069427,0.5139229554889511
2.22092050209205,quark,1.8006346217235345,-0.22782007376134875,0.9737032473969539,1.0
2.4251046025104603,baryon,4.0909183239154014,-0.09184821613476152,-0.12825606855725125,0.15775206473735992
2.4251046025104603,boson,6.058040577741035,0.35673653564824914,-0.08170254333908164,0.36597303378034435
2.4251046025104603,lepton,4.32204279784213,-0.21777274161482496,-0.5292687689883548,0.5723201873225212
2.4251046025104603,meson,5.401020768870202,0.12483354666247974,-0.1516740083657408,0.19643935243749994
2.4251046025104603,quark,6.0335927423160545,0.9690131423523851,-0.24700916976573215,1.0
2.6292887029288705,baryon,4.553328373232935,-0.0500405618089139,-0.3119429494213673,0.31593110248890255
2.6292887029288705,boson,5.187852511898941,0.44280147533179237,-0.860045198461078,0.9673421783174592
2.6292887029288705,lepton,4.157991219839637,-0.05741316113045103,-0.09272563437332154,0.10906105785717486
2.6292887029288705,meson,4.556329062334707,-0.017235364986336363,-0.10954264738037152,0.11089025836976232
2.6292887029288705,quark,4.478222916017547,-0.2320318902785541,-0.9727081792057477,0.9999999999999999
2.8334728033472802,baryon,3.0545348844257862,-0.2988704623621246,0.026084928748192862,0.30000662789403243
2.8334728033472802,boson,4.8824974658677505,0.06485413433271062,-0.37756708550292073,0.38309654500558354
2.8334728033472802,lepton,4.903632946146892,0.0010234352116046952,-0.0052860625004910455,0.005384224771631473
2.8334728033472802,meson,6.096453642284712,0.1531683260813594,-0.02893851057173818,0.1558780725717259
2.8334728033472802,quark,3.254260369309502,-0.9936597041600912,-0.11242949936951667,1.0
3.03765690376569,baryon,3.55402126864311,-0.42459226813234224,-0.1857683106396142,0.4634527585371167
3.03765690376569,boson,3.8874271165432854,-0.7264813995386056,-0.6711567915204246,0.9890534175056278
3.03765690376569,lepton,5.358105032044906,0.37708302157720536,-0.5004641416635468,0.6266226633731227
3.03765690376569,meson,2.5730829184267168,-0.18972331673995854,0.12120816167503173,0.22513630398372286
3.03765690376569,quark,2.2634709301769083,-0.6385976802286518,0.7695407739727536,1.0
3.2418410041841,baryon,2.190734472638548,-0.16285012849053307,0.2281403226089737,0.28030014475470705
3.2418410041841,boson,2.748767848654031,-0.5810030259045732,0.24074491578828594,0.6289058996290137
