base,angular_entropy,circular_resultant_R,largest_angular_gap,top_3_gap_sum,top_5_gap_sum,dbscan_cluster_count,average_nearest_neighbor_distance_3d,persistent_neighbor_stability,radial_spiral_fit_R2,fitted_k,golden_k,golden_spiral_error,golden_spiral_relative_error,family_compactness,interaction_compactness,geometry_coherence_score,base_name,is_phi_neighbor
1.2,3.3654219428812175,0.0476283845634114,0.7724744043415446,1.9685077998933322,2.9154075295825943,3,0.793497363889974,0.8620689655172413,0.3346156823468338,0.18192557691503058,0.30634896253003313,0.12442338561500255,0.4061491985722152,0.13514370946734594,0.1482043125877615,-0.988545342219117,,False
1.2097619523904781,3.3485176326855948,0.10648083493280092,0.7064557301702459,1.7445530160734368,2.6129049210839552,3,0.8266956563715261,0.7586206896551724,0.535344071414833,0.29301716666292293,0.30634896253003313,0.013331795867110197,0.043518332025698325,0.13500130520319595,0.14828873150595623,-0.805370655274649,,False
1.219523904780956,3.2592041683482518,0.08201210244345197,0.8916008308410737,2.357195058155832,3.4033891354637547,3,0.8288174821053717,0.6551724137931034,0.8341141109065109,0.1584638419493834,0.30634896253003313,0.14788512058064973,0.48273419749594126,0.13491194342738888,0.14809541876716698,-0.9265687149621795,,False
1.2292858571714342,3.112146840538238,0.1308879527455166,0.9459907120990263,2.088937267123022,2.879091087509994,3,0.8232373406686547,0.5862068965517241,0.7477658039934814,0.2542114095789182,0.30634896253003313,0.05213755295111494,0.17019007513695628,0.134985916712673,0.1480905941966019,-0.6142973955609204,,False
1.2390478095619124,3.1212731338654933,0.1608486612290026,0.8664305825357745,2.245462958563158,3.155719957527182,3,0.8274060329857016,0.5862068965517241,0.17775249157447848,0.2252503563365922,0.30634896253003313,0.08109860619344092,0.2647262309089438,0.1350942789698139,0.1481953071391707,-0.6692427499516284,,False
1.2488097619523904,3.495574960495609,0.11131713549365976,0.6224410590909444,1.5316023762399844,2.318701748858352,3,0.7719432863481072,0.7586206896551724,0.594626634468826,0.11991663357389987,0.30634896253003313,0.18643232895613326,0.6085619726486139,0.13497062264892667,0.1481026344102457,-1.249096129701079,,False
1.2585717143428685,3.2795521154442158,0.026254761369944885,0.705694422664402,1.9692167544127854,2.900345819397785,3,0.7966212661435166,0.7586206896551724,0.5293159718816097,0.2968985342401184,0.30634896253003313,0.009450428289914714,0.030848572855826907,0.13505754084426708,0.1481501896890442,-0.7280917913038382,,False
1.2683336667333467,3.302139082066753,0.3010622943043091,0.9501709316629046,2.1670997034902464,2.8402144884061835,3,0.7862562282806359,0.7241379310344828,0.049805990040344805,0.09527656157474325,0.30634896253003313,0.2110724009552899,0.688993359768918,0.13538212162633845,0.14849926764532054,-1.0619462179543313,,False
1.2780956191238246,3.302139082066753,0.08699085069570738,0.7996726482130558,1.7598454830829033,2.599042013689849,3,0.7587944875357459,0.7931034482758621,0.3133123969022932,-0.20663111822477764,0.30634896253003313,0.5129800807548108,1.6744958968304666,0.13526696522572543,0.14821399985405237,-1.5149539069128912,,False
1.2878575715143028,3.1516381173563985,0.05696582714296092,0.7747166896052979,2.0538540221869397,2.979475772405159,3,0.7523447317862252,0.8620689655172413,0.14344603960425084,0.18872744489028573,0.30634896253003313,0.1176215176397474,0.38394619217362713,0.13503093877343306,0.14819201966438547,-0.7555339372068437,,False
1.297619523904781,3.220603634597778,0.12096694395197406,0.7955258077452632,2.0234530904128425,2.8371898695214908,3,0.7633607258146673,0.896551724137931,0.5721109689198906,0.1983692004457844,0.30634896253003313,0.10797976208424873,0.3524730790418879,0.13506864708221983,0.14814226348496312,-0.8080927371043033,,False
1.307381476295259,3.3407396158172276,0.16368875866661586,0.873084037409077,2.1851907325631528,2.9154512203966143,3,0.7560881632836899,0.7931034482758621,0.6564017564087112,0.21942773514875083,0.30634896253003313,0.0869212273812823,0.2837327297061139,0.1351625103462962,0.1481978496230791,-0.8925782765140161,,False
1.317143428685737,3.2795521154442153,0.29199625743280705,0.7885027737727524,1.8711346412426104,2.895463583012826,3,0.746450276109743,0.8275862068965517,0.6270498535660285,0.27779943828701936,0.30634896253003313,0.02854952424301377,0.09319282169990994,0.13535609775529822,0.1487906825082374,-0.40517879516551253,,False
1.3269053810762153,3.3745482362084727,0.15376020366421883,0.7306332460271214,1.8220157855800645,2.6968785887497138,3,0.7438634832886373,0.8620689655172413,0.7600009016683021,0.25081898012262094,0.30634896253003313,0.05552998240741219,0.181263817408777,0.13521432330302696,0.14824839243999163,-0.831167056362936,,False
1.3366673334666932,3.1198302380045826,0.20798555476469346,0.9049586217661579,2.3359838936762247,3.4766696221105975,3,0.7728660676702194,0.8620689655172413,0.05947138871617674,-0.0886249315329968,0.30634896253003313,0.39497389406302996,1.2892940482026551,0.13541941147521355,0.14812275527373864,-1.1497120784887773,,False
