particle_a,particle_b,tolerance_type,tolerance_value,base_count,connected_count,persistence_fraction,mean_distance,min_distance,max_distance,family_match,interaction_match,empirical_p_value,passes_threshold
muon,tau,angular_close_deg,10.0,2009,87,0.04330512692882031,102.53799876740507,0.0844924995275278,179.94302773433202,True,True,0.0033993201359728054,True
muon,neutron,angular_close_deg,10.0,2009,122,0.06072672971627675,84.90983049068382,0.061836832224315685,179.99557821297003,False,True,0.001799640071985603,True
muon,Lambda,angular_close_deg,10.0,2009,138,0.06869089099054256,73.04377211135939,0.027162536993415642,179.91363808723133,False,True,0.001799640071985603,True
muon,Sigma_plus,angular_close_deg,10.0,2009,176,0.08760577401692385,80.8757174317658,0.014116596193730402,179.94686761506534,False,True,0.0023995200959808036,True
muon,Xi_minus,angular_close_deg,10.0,2009,165,0.0821304131408661,68.74663342720919,0.02416334934190445,179.8724120811837,False,True,0.003799240151969606,True
muon,Omega_minus,angular_close_deg,10.0,2009,213,0.10602289696366352,71.07112918430583,0.012356014392764791,179.9230590204687,False,True,0.0023995200959808036,True
muon,Delta_1232,angular_close_deg,10.0,2009,117,0.05823792931806869,85.36128924744929,0.009588833743919167,179.93949393006005,False,False,0.0027994401119776045,True
muon,pi0,angular_close_deg,10.0,2009,87,0.04330512692882031,92.09015000589287,0.049194222548692323,179.901124730667,False,False,0.0033993201359728054,True
muon,pi_plus,angular_close_deg,10.0,2009,29,0.01443504230960677,84.10442329097503,0.27511846323150735,179.8562543318193,False,True,0.005198960207958408,True
muon,K_plus,angular_close_deg,10.0,2009,336,0.1672473867595819,56.66269628734901,0.021279954500585063,179.85153301043874,False,True,0.005598880223955209,True
muon,K_short,angular_close_deg,10.0,2009,60,0.029865604778496764,103.67873540180557,0.017055285566556222,179.95231916779844,False,True,0.003199360127974405,True
muon,K_long,angular_close_deg,10.0,2009,55,0.0273768043802887,107.0634605809059,0.15480245498650902,179.9085314650202,False,True,0.0033993201359728054,True
muon,eta,angular_close_deg,10.0,2009,95,0.04728720756595321,90.29792337391586,0.028592537888215475,179.92709037554312,False,False,0.0027994401119776045,True
muon,rho_770,angular_close_deg,10.0,2009,133,0.06620209059233449,86.97744688225899,0.0512112538723386,179.99310640231252,False,False,0.003999200159968006,True
muon,omega_782,angular_close_deg,10.0,2009,94,0.0467894474863116,94.62379347511056,0.06926793100109307,179.90534758955545,False,False,0.0021995600879824036,True
muon,phi_1020,angular_close_deg,10.0,2009,135,0.06719761075161772,86.84913806407754,0.001089554200945031,179.7898918258541,False,False,0.0027994401119776045,True
muon,D0,angular_close_deg,10.0,2009,81,0.04031856645097063,101.99390968987592,0.10087402499925702,179.9525050761486,False,True,0.0027994401119776045,True
muon,D_plus,angular_close_deg,10.0,2009,155,0.07715281234444997,84.54081124441433,0.05248841919728875,179.98553344075793,False,True,0.002999400119976005,True
muon,Ds_plus,angular_close_deg,10.0,2009,71,0.0353409656545545,99.4559170941791,0.016805651053175552,179.9714531752441,False,True,0.0021995600879824036,True
muon,J_psi,angular_close_deg,10.0,2009,120,0.05973120955699353,85.28708382252933,0.07335068282779389,179.80799455967326,False,False,0.004199160167966407,True
muon,B_plus,angular_close_deg,10.0,2009,112,0.05574912891986063,84.09417207896149,0.05382527236463375,179.737894361622,False,True,0.003999200159968006,True
