particle_a,particle_b,bases_close_count,fraction_of_bases_close,mean_3d_distance,min_3d_distance,max_3d_distance
Delta_1232,B0,0,0.0,12.112237718657065,12.071571034190232,12.157858131862577
K_long,J_psi,0,0.0,12.11230136650202,12.071646182876645,12.157767080170366
Delta_1232,Bs0,0,0.0,12.119311190374605,12.07987194253872,12.17043349397701
Delta_1232,B_plus,0,0.0,12.149403175082195,12.113302135959675,12.222160800463087
K_long,Higgs,0,0.0,12.156958109916117,12.114877594446332,12.233305577735946
Xi_minus,phi_1020,0,0.0,12.203523503500072,12.14162251616301,12.288891543045812
Sigma_plus,omega_782,0,0.0,12.293535970613107,12.202406550903696,12.358997155307033
Sigma_plus,top,0,0.0,12.325667011830769,12.226582180970897,12.38633735724196
K_short,W,0,0.0,12.343308578149438,12.245204440163569,12.394430231078935
Lambda,phi_1020,0,0.0,12.358251444076608,12.26678259747217,12.402566671193837
K_short,Z,0,0.0,12.358679275540522,12.267490335883512,12.403619072553415
muon,Upsilon_1S,0,0.0,12.380410113348388,12.304330847490384,12.454091307341903
Omega_minus,omega_782,0,0.0,12.428500848762623,12.357600455370733,12.514943144942984
rho_770,B0,0,0.0,12.447818166442751,12.369753742253494,12.530341997001194
rho_770,Bs0,0,0.0,12.457222011064324,12.376765104370442,12.537087749017994
Omega_minus,top,0,0.0,12.465250566799568,12.383333609079866,12.542527740937778
rho_770,B_plus,0,0.0,12.49492945082021,12.407239228957522,12.56217950659474
neutron,Lambda,0,0.0,12.555879507648104,12.454507728815544,12.61007583641186
Xi_minus,omega_782,0,0.0,12.64108949404994,12.55938830428892,12.70785707723725
Sigma_plus,W,0,0.0,12.662098064559668,12.577890072110248,12.73255938109479
Xi_minus,top,0,0.0,12.667841545692417,12.581951061877728,12.737473962756521
neutron,Xi_minus,0,0.0,12.668499928344396,12.58244582381523,12.737993837616944
Sigma_plus,Z,0,0.0,12.686036077757127,12.597931943333473,12.748880180686053
Lambda,omega_782,0,0.0,12.762148961462477,12.700792671050397,12.839034468037408
Lambda,top,0,0.0,12.783176111893502,12.718781609569653,12.859792608916798
Omega_minus,W,0,0.0,12.802941459232192,12.736399106780022,12.870644194685289
Omega_minus,Z,0,0.0,12.826175560803293,12.756680600932137,12.88929595280153
neutron,Omega_minus,0,0.0,12.851778981302255,12.779079928134756,12.930798406817082
Delta_1232,K_short,0,0.0,12.887859443117627,12.813800693716964,12.965274913900375
Xi_minus,W,0,0.0,12.980332041228808,12.930977646395712,13.08393270389976
neutron,Sigma_plus,0,0.0,12.985410461052819,12.937434684412965,13.090436723900556
Xi_minus,Z,0,0.0,13.001241576810006,12.954499996019324,13.107610368916822
muon,J_psi,0,0.0,13.096699905228721,13.024902521929567,13.17423741005802
Lambda,W,0,0.0,13.146109705971028,13.066044430872758,13.212767158560789
muon,Higgs,0,0.0,13.150317147370055,13.070111578380452,13.21603422658589
Lambda,Z,0,0.0,13.172383340549736,13.09415159927578,13.233797569726855
K_short,rho_770,0,0.0,13.201029277668795,13.13406759276026,13.26002843799048
Sigma_plus,Delta_1232,0,0.0,13.222463164448172,13.148580620628257,13.289909414681714
neutron,K_short,0,0.0,13.367349617594684,13.275793308259985,13.417303914723217
Omega_minus,Delta_1232,0,0.0,13.398274099930209,13.341148199979967,13.427682593149848
pi_plus,phi_1020,0,0.0,13.447559274308787,13.367777688369847,13.509897134807973
Sigma_plus,rho_770,0,0.0,13.521368924844317,13.447903566428206,13.592692822158252
Xi_minus,Delta_1232,0,0.0,13.56025623217412,13.505590664399476,13.644280002594424
K_plus,phi_1020,0,0.0,13.640471508566057,13.587815432242405,13.723142402601844
Omega_minus,rho_770,0,0.0,13.663358132491966,13.605051010618768,13.735104084602215
Lambda,Delta_1232,0,0.0,13.698284360021582,13.62677637006492,13.76106435204843
pi_plus,omega_782,0,0.0,13.840519519741584,13.785418388695724,13.92115614169523
Xi_minus,rho_770,0,0.0,13.854134705175417,13.804262420471531,13.936392211009482
pi_plus,top,0,0.0,13.856136958304319,13.809282652065125,13.937614763790297
Lambda,rho_770,0,0.0,13.977632236156722,13.931640271540983,14.071343336885311
neutron,B_plus,0,0.0,14.028127465526902,13.980299983879219,14.12176618759722
K_plus,omega_782,0,0.0,14.056948047472297,14.003303943041358,14.144943718479494
neutron,Bs0,0,0.0,14.060744560028887,14.006248286705823,14.147209745493319
neutron,B0,0,0.0,14.069862728669825,14.013261643013221,14.151534650274282
K_plus,top,0,0.0,14.094537457879763,14.032032060368353,14.164149626313154
pi_plus,W,0,0.0,14.24208924888587,14.15632181482835,14.295154407240434
pi_plus,Z,0,0.0,14.260979643420844,14.192467430840615,14.318579528625055
K_long,phi_1020,0,0.0,14.285974382119257,14.207637103202455,14.339173269677337
K_plus,W,0,0.0,14.439205260009333,14.381817669300894,14.518018888579736
K_plus,Z,0,0.0,14.458418616476227,14.405517651795575,14.542581295438854
K_long,omega_782,0,0.0,14.717474872297535,14.624126109242404,14.75142866948958
neutron,D_plus,0,0.0,14.722811514632822,14.630837604286189,14.760242079331633
K_long,top,0,0.0,14.736536360901166,14.66380058984624,14.78494890541492
Delta_1232,pi_plus,0,0.0,14.787993576633788,14.733542865005063,14.852608569430549
neutron,Ds_plus,0,0.0,14.986839109976465,14.922591788116485,15.049344738931643
Delta_1232,K_plus,0,0.0,15.011997755745641,14.94880264462152,15.079899458471985
K_long,W,0,0.0,15.049423372933976,15.001045213559783,15.131580903330937
K_long,Z,0,0.0,15.064376941998177,15.024462636690883,15.14547358074744
pi_plus,rho_770,0,0.0,15.065901789398923,15.02666751101184,15.14643040270591
neutron,D0,0,0.0,15.07066703750205,15.033307396430695,15.148991080877426
muon,phi_1020,0,0.0,15.222039527986384,15.16703323345986,15.298242909785138
tau,neutron,0,0.0,15.258302028160122,15.204201112928233,15.335019397756724
K_plus,rho_770,0,0.0,15.30563605919335,15.252709523753719,15.352544727947253
Delta_1232,K_long,0,0.0,15.65497730273894,15.567072096895004,15.694960183120996
muon,omega_782,0,0.0,15.667419447484898,15.585514041851155,15.710014575500725
muon,top,0,0.0,15.686800586332092,15.614201910676504,15.73379528288329
K_long,rho_770,0,0.0,15.916609204325608,15.873635997366753,15.994799849354608
muon,W,0,0.0,15.990879001308079,15.960967090269804,16.066916423456377
muon,Z,0,0.0,16.01649334467687,15.984497105115194,16.10850877036789
muon,Delta_1232,0,0.0,16.58326655822376,16.53046541276887,16.646648299640958
muon,rho_770,0,0.0,16.8731447347649,16.837764318929093,16.94840555755149
neutron,pi0,0,0.0,19.886706287013194,19.86113967742337,19.957857794410423
neutron,eta,0,0.0,21.53261394182166,21.484843929035893,21.569692203435608
neutron,Upsilon_1S,0,0.0,21.896515703485314,21.8550014682067,21.941170942693354
neutron,J_psi,0,0.0,22.62533342657914,22.575683326832948,22.662206508860674
neutron,Higgs,0,0.0,22.66802947119418,22.619430621699625,22.70305662374575
neutron,phi_1020,0,0.0,24.738761785724538,24.718739484313165,24.76642614784046
neutron,omega_782,0,0.0,25.181100143249303,25.134136319971017,25.213149112944038
neutron,top,0,0.0,25.210914691228304,25.16283901823263,25.240108338600344
neutron,W,0,0.0,25.549074927155434,25.512924293079667,25.590009376596765
neutron,Z,0,0.0,25.570372943445413,25.535131834209963,25.612337166598028
neutron,Delta_1232,0,0.0,26.115015799725597,26.079438777737433,26.152859689888338
neutron,rho_770,0,0.0,26.421362016204895,26.384864078417294,26.457573588480457
