base,from_entity,to_entity,from_theta_deg,to_theta_deg,gap_deg,gap_fraction,from_log10_N,to_log10_N,from_frequency_hz,to_frequency_hz,from_cycles,to_cycles
10,pi_plus,K_short,339.7578748989683,11.650113535611695,31.89223863664338,0.08858955176845384,14.943771874719356,13.032361426487812,3.374797015335964e+22,1.2032180447431181e+23,878560907002411.5,10773614372629.879
10,phi_1020,D_plus,209.5764043492742,240.95423611662974,31.377831767355538,0.08716064379820983,1.582156678747984,11.669317322546195,2.4650457307251326e+23,4.5208177663564874e+23,38.208208826239556,467000475264.6251
10,Upsilon_1S,Omega_minus,160.3323249614763,187.61423913903002,27.28191417755372,0.07578309493764922,4.445367569337434,13.521150664275083,2.2875145425820157e+24,4.043966107924921e+23,27884.802274074773,33200961746063.605
10,Lambda,rho_770,305.5676049341028,330.2425190290269,24.67491409492407,0.06854142804145574,13.84879890259473,-0.08265966936381419,2.6977094915770273e+23,1.8745703398187536e+23,70599057394570.8,0.8266855198600702
10,K_short,tau,11.650113535611695,34.54981911811721,22.899705582505515,0.06361029328473755,13.032361426487812,11.09597171977255,1.2032180447431181e+23,4.2965976239379536e+23,10773614372629.879,124730229022.9188
10,Ds_plus,pi0,135.92439042630184,158.23478401108855,22.31039358478672,0.06197331551329645,11.377567751184174,6.439541066697468,4.759449124657848e+23,3.2637245033104756e+22,238543590127.85135,2751319.756290731
10,Omega_minus,phi_1020,187.61423913903002,209.5764043492742,21.9621652102442,0.061006014472900556,13.521150664275083,1.582156678747984,4.043966107924921e+23,2.4650457307251326e+23,33200961746063.605,38.208208826239556
10,K_plus,Delta_1232,61.06244517338858,80.01111568933736,18.94867051594878,0.052635195877635495,15.169617903259415,0.22225309913704822,1.193705675064756e+23,2.978962746248619e+23,1477807625730168.0,1.6682191378992266
10,Delta_1232,D0,80.01111568933736,96.19108463084956,16.179968941512197,0.04494435817086722,0.22225309913704822,11.267197457307917,2.978962746248619e+23,4.509163058209639e+23,1.6682191378992266,185010960278.34146
10,tau,top,34.54981911811721,50.00703705893419,15.45721794081698,0.042936716502269386,11.09597171977255,1.1389084362748172,4.2965976239379536e+23,4.172482236141734e+25,124730229022.9188,13.769191379267722
10,B_plus,Sigma_plus,115.32731487509757,130.62146260268895,15.294147727591374,0.04248374368775382,12.320353652430827,13.362837396118582,1.2765556584555537e+24,2.8758838648585384e+23,2090998168550.197,23058836828435.76
10,Higgs,Xi_minus,246.66432329979955,258.9010177452537,12.236694445454146,0.033990817904039294,3.685178675832777,13.719169493736818,3.027322531090317e+25,3.195880561156057e+23,4843.716049744508,52380482397347.77
10,K_long,eta,284.1389540089202,296.2185336109115,12.07957960199127,0.03355438778330908,15.789274872247002,4.82282926003031,1.2032180447431181e+23,1.3247244221471272e+23,6155663516905793.0,66501.16599178579
