record_type,members,member_count,persistence_neighbor_score
cluster,"[""D_plus"", ""Sigma_plus"", ""W"", ""Z"", ""pi_plus""]",5,0.016666666666666666
cluster,"[""Sigma_plus"", ""W"", ""Z"", ""pi_plus""]",4,0.016666666666666666
cluster,"[""D0"", ""Delta_1232"", ""Ds_plus"", ""K_long"", ""K_short"", ""eta"", ""phi_1020"", ""pi0"", ""rho_770"", ""tau""]",10,0.016666666666666666
cluster,"[""D_plus"", ""Higgs"", ""J_psi"", ""Sigma_plus"", ""neutron"", ""pi_plus""]",6,0.016666666666666666
cluster,"[""D_plus"", ""Delta_1232"", ""Sigma_plus"", ""pi_plus""]",4,0.016666666666666666
cluster,"[""D_plus"", ""Delta_1232"", ""Higgs"", ""J_psi"", ""K_plus"", ""Omega_minus"", ""Sigma_plus"", ""muon"", ""pi_plus""]",9,0.016666666666666666
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""K_long"", ""W"", ""Z""]",6,0.016666666666666666
cluster,"[""D_plus"", ""Sigma_plus"", ""eta"", ""muon"", ""phi_1020"", ""pi0"", ""pi_plus"", ""rho_770""]",8,0.016666666666666666
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""K_long""]",4,0.016666666666666666
cluster,"[""K_short"", ""pi_plus"", ""tau""]",3,0.0125
cluster,"[""Omega_minus"", ""omega_782"", ""pi_plus"", ""top""]",4,0.0125
cluster,"[""W"", ""Z"", ""pi0""]",3,0.0125
cluster,"[""D_plus"", ""Delta_1232"", ""Higgs"", ""J_psi"", ""K_plus"", ""eta""]",6,0.0125
cluster,"[""Delta_1232"", ""Higgs"", ""J_psi"", ""K_short"", ""eta""]",5,0.0125
cluster,"[""D_plus"", ""K_plus"", ""omega_782"", ""rho_770"", ""top""]",5,0.0125
cluster,"[""K_short"", ""Upsilon_1S"", ""W"", ""Z"", ""muon""]",5,0.0125
cluster,"[""D0"", ""K_plus"", ""Lambda"", ""W"", ""Z""]",5,0.0125
cluster,"[""Delta_1232"", ""Sigma_plus"", ""phi_1020""]",3,0.0125
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""Upsilon_1S"", ""Xi_minus"", ""pi_plus"", ""tau""]",7,0.0125
cluster,"[""D_plus"", ""Higgs"", ""J_psi"", ""K_long"", ""K_short"", ""neutron"", ""omega_782"", ""pi0"", ""rho_770"", ""top""]",10,0.0125
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""Delta_1232"", ""K_plus"", ""Lambda"", ""Upsilon_1S"", ""Xi_minus"", ""phi_1020"", ""pi_plus"", ""tau""]",11,0.0125
cluster,"[""W"", ""Z"", ""eta"", ""neutron""]",4,0.0125
cluster,"[""D0"", ""Ds_plus"", ""Upsilon_1S"", ""muon"", ""neutron""]",5,0.0125
cluster,"[""Sigma_plus"", ""omega_782"", ""top""]",3,0.0125
cluster,"[""Delta_1232"", ""K_plus"", ""Lambda"", ""phi_1020"", ""tau""]",5,0.0125
cluster,"[""D0"", ""Delta_1232"", ""Ds_plus"", ""Upsilon_1S"", ""muon"", ""phi_1020""]",6,0.0125
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""Higgs"", ""J_psi"", ""K_plus"", ""Omega_minus"", ""W"", ""Xi_minus"", ""Z"", ""neutron"", ""pi0"", ""pi_plus""]",13,0.0125
cluster,"[""Ds_plus"", ""K_long"", ""rho_770""]",3,0.0125
cluster,"[""D_plus"", ""K_short"", ""neutron"", ""rho_770""]",4,0.0125
cluster,"[""K_short"", ""neutron"", ""omega_782"", ""top""]",4,0.0125
cluster,"[""D_plus"", ""K_short"", ""omega_782"", ""top""]",4,0.0125
cluster,"[""Omega_minus"", ""Sigma_plus"", ""Upsilon_1S"", ""pi_plus"", ""rho_770""]",5,0.0125
cluster,"[""D0"", ""Ds_plus"", ""Higgs"", ""J_psi"", ""K_long"", ""W"", ""Z""]",7,0.0125
cluster,"[""neutron"", ""pi0"", ""tau""]",3,0.0125
