peak_rank,peak_base,peak_score,expression,n,constant_value,absolute_error,relative_error,match_rank_for_peak
1,43.79139827965593,0.7949210645505121,n*pi,14,43.982297150257104,0.19089887060117405,0.004359277805702302,1
1,43.79139827965593,0.7949210645505121,n*e,16,43.49250925534472,0.2988890243112081,0.0068252907203938794,2
1,43.79139827965593,0.7949210645505121,n*e,17,46.21079108380377,2.41939280414784,0.05524812860958157,3
1,43.79139827965593,0.7949210645505121,n*pi,13,40.840704496667314,2.9506937829886155,0.06738067060899064,4
1,43.79139827965593,0.7949210645505121,n*e,15,40.77422742688567,3.0171708527702563,0.06889871005036934,5
1,43.79139827965593,0.7949210645505121,phi^n,8,46.978713763747805,3.187315484091876,0.0727840537024505,6
1,43.79139827965593,0.7949210645505121,n*pi,15,47.12388980384689,3.3324915241909636,0.07609922622039524,7
1,43.79139827965593,0.7949210645505121,n*e,18,48.92907291226281,5.137674632606881,0.11732154793955686,8
1,43.79139827965593,0.7949210645505121,n*e,14,38.05594559842663,5.735452681229297,0.13097212938034464,9
1,43.79139827965593,0.7949210645505121,n*pi,12,37.69911184307752,6.092286436578412,0.13912061902368375,10
1,43.79139827965593,0.7949210645505121,n*pi,16,50.26548245743669,6.47408417778076,0.14783917463508833,11
1,43.79139827965593,0.7949210645505121,n*e,19,51.64735474072186,7.855956461065929,0.17939496726953233,12
1,43.79139827965593,0.7949210645505121,n*e,13,35.337663769967584,8.453734509688346,0.19304554871032006,13
1,43.79139827965593,0.7949210645505121,n*pi,11,34.55751918948772,9.233879090168209,0.21086056743837683,14
1,43.79139827965593,0.7949210645505121,n*pi,17,53.40707511102649,9.615676831370557,0.21957912304978144,15
1,43.79139827965593,0.7949210645505121,n*e,20,54.3656365691809,10.57423828952497,0.24146838659950762,16
1,43.79139827965593,0.7949210645505121,e^n,4,54.59815003314423,10.8067517534883,0.24677795590073148,17
1,43.79139827965593,0.7949210645505121,n*e,12,32.61938194150854,11.172016338147387,0.2551189680402954,18
1,43.79139827965593,0.7949210645505121,n*phi,20,32.3606797749979,11.430718504658032,0.2610265703702906,19
