base,name,family,x,y,z
1.2,muon,lepton,-0.6269165567621628,-0.1183351404662385,16.74918461424223
1.2,tau,lepton,0.282522214619719,0.3157712342706104,11.09597171977255
1.2,neutron,baryon,0.5863178914875102,0.8100810639199266,26.300073716822478
1.2,Lambda,baryon,0.42717774984354395,-0.3104162085377314,13.84879890259473
1.2,Sigma_plus,baryon,0.040483583697558355,-0.5080219621381533,13.362837396118582
1.2,Xi_minus,baryon,-0.04223883002065477,0.5214307175913533,13.719169493736818
1.2,Omega_minus,baryon,0.03895224219188254,-0.5141597087857065,13.521150664275083
1.2,Delta_1232,baryon,0.004043787250525547,-0.010826754867518258,0.22225309913704822
1.2,pi0,meson,-0.1144338665014852,0.21913470947687233,6.439541066697468
1.2,pi_plus,meson,-0.07607599147045024,-0.564451892272021,14.943771874719356
1.2,K_plus,meson,-0.5049451330492922,-0.28151092836329716,15.169617903259415
1.2,K_short,meson,-0.4214001956974243,-0.2636977012749048,13.032361426487812
1.2,K_long,meson,-0.5012605957954103,0.3326621724735567,15.789274872247002
1.2,eta,meson,0.15619159787601938,-0.10087728190935462,4.82282926003031
1.2,rho_770,meson,0.0,-0.0,-0.08265966936381419
1.2,omega_782,meson,-0.00597273268134578,-0.04696286531186195,1.1663292053773442
1.2,phi_1020,meson,0.06267470175779384,-0.00733531576335275,1.582156678747984
1.2,D0,meson,-0.12336346692156476,0.41213306758051665,11.267197457307917
1.2,D_plus,meson,-0.3145044657839178,0.31544492128489027,11.669317322546195
1.2,Ds_plus,meson,-0.159442255803372,-0.4040634882522537,11.377567751184174
1.2,J_psi,meson,0.1405076057417906,0.03287257862399154,3.7244148040524654
1.2,B_plus,meson,-0.3857028423994228,-0.2687839328042366,12.320353652430827
1.2,B0,meson,0.20950203153713093,0.4194462061020699,12.287050836244319
1.2,Bs0,meson,-0.03685392434163215,0.46766524892271627,12.293879496489762
1.2,Upsilon_1S,meson,0.10800453755327934,0.13338418018759687,4.445367569337434
1.2,W,boson,0.031685833320371906,-0.009255262848267106,0.7882310922760309
1.2,Z,boson,-0.016988742645453057,-0.027270258157000717,0.7649959817301074
1.2,Higgs,boson,-0.1380894544997796,-0.03643212674917483,3.685178675832777
1.2,top,quark,-0.03445360563600702,0.03093228015862645,1.1389084362748172
1.40418410041841,muon,lepton,-0.4856657110051689,-0.4137105168660017,16.74918461424223
1.40418410041841,tau,lepton,-0.04168119366662019,0.4216550156715096,11.09597171977255
1.40418410041841,neutron,baryon,-0.7994681513813867,0.6007084774887301,26.300073716822478
1.40418410041841,Lambda,baryon,0.4891561871353945,-0.19891022364749555,13.84879890259473
1.40418410041841,Sigma_plus,baryon,-0.3194428197185814,-0.3970913238713966,13.362837396118582
1.40418410041841,Xi_minus,baryon,0.4873215652929019,0.190241436101138,13.719169493736818
1.40418410041841,Omega_minus,baryon,-0.10918077819163524,-0.5039415055180972,13.521150664275083
1.40418410041841,Delta_1232,baryon,-0.011544190438361501,-0.0005500031015241214,0.22225309913704822
1.40418410041841,pi0,meson,-0.10470078970393928,-0.22394837649638022,6.439541066697468
1.40418410041841,pi_plus,meson,-0.37906810943269087,0.4250892418996306,14.943771874719356
1.40418410041841,K_plus,meson,0.46307257050849193,-0.3460950514248803,15.169617903259415
1.40418410041841,K_short,meson,-0.40310303269141906,0.2908995490310654,13.032361426487812
1.40418410041841,K_long,meson,0.4842998918905559,0.35690323703602345,15.789274872247002
1.40418410041841,eta,meson,-0.041708805160644014,-0.18119717664620213,4.82282926003031
1.40418410041841,rho_770,meson,-0.0,0.0,-0.08265966936381419
1.40418410041841,omega_782,meson,0.04019151219667533,-0.02501652656400166,1.1663292053773442
1.40418410041841,phi_1020,meson,-0.00711681335996252,-0.06269988887849769,1.582156678747984
1.40418410041841,D0,meson,-0.38589328352601215,0.1901541061711461,11.267197457307917
1.40418410041841,D_plus,meson,0.25090051806906,0.36805908139201704,11.669317322546195
1.40418410041841,Ds_plus,meson,0.19528024962410734,0.388013865191688,11.377567751184174
1.40418410041841,J_psi,meson,-0.012024953505910369,0.1437998407157034,3.7244148040524654
1.40418410041841,B_plus,meson,-0.4242976210875501,-0.2024426188038284,12.320353652430827
1.40418410041841,B0,meson,-0.2634253905858442,0.38785729930774865,12.287050836244319
1.40418410041841,Bs0,meson,-0.3638420431578916,0.29612153656905116,12.293879496489762
1.40418410041841,Upsilon_1S,meson,0.09770418814580889,0.14110354806022213,4.445367569337434
1.40418410041841,W,boson,-0.018843610655687456,0.027102956684719213,0.7882310922760309
1.40418410041841,Z,boson,0.01199902532173767,0.029804492076718866,0.7649959817301074
1.40418410041841,Higgs,boson,0.1427913912044484,-0.0025721394621628013,3.685178675832777
1.40418410041841,top,quark,-0.00713082969856111,-0.045749406170390555,1.1389084362748172
