peak_rank,base,top_k,selected_gaps,midpoint_angles_deg,area,perimeter,symmetry_score,compactness
1,43.79139827965593,3,"[""B_plus -> K_long"", ""tau -> D0"", ""J_psi -> Xi_minus""]","[112.91980877844776, 202.59267730168622, 292.4173802583936]",0.9956050504404449,4.822199847770062,0.024192600770707527,0.5380300654941175
1,43.79139827965593,4,"[""B_plus -> K_long"", ""tau -> D0"", ""J_psi -> Xi_minus"", ""neutron -> pi_plus""]","[22.933353339482988, 112.91980877844776, 202.59267730168622, 292.4173802583936]",1.9999692219419118,5.656832470844038,0.7949210645505121,0.7853921243232299
1,43.79139827965593,5,"[""B_plus -> K_long"", ""tau -> D0"", ""J_psi -> Xi_minus"", ""neutron -> pi_plus"", ""K_long -> top""]","[22.933353339482988, 112.91980877844776, 202.59267730168622, 236.3992711984111, 292.4173802583936]",2.192774320596894,5.7655206450274585,0.044110928930647206,0.8289469489742493
1,43.79139827965593,6,"[""B_plus -> K_long"", ""tau -> D0"", ""J_psi -> Xi_minus"", ""neutron -> pi_plus"", ""K_long -> top"", ""electron -> Lambda""]","[22.933353339482988, 112.91980877844776, 144.86631909607394, 202.59267730168622, 236.3992711984111, 292.4173802583936]",2.3800999132954717,5.871166666244538,0.047242287734753266,0.8676733020376917
2,24.93130626125225,3,"[""Upsilon_1S -> K_long"", ""eta -> Z"", ""proton -> B0""]","[87.65963120783952, 180.10890981881175, 270.3608178478581]",1.0231019588739592,4.860879015180791,0.025510718912244268,0.5441255968333414
2,24.93130626125225,4,"[""Upsilon_1S -> K_long"", ""eta -> Z"", ""proton -> B0"", ""muon -> D0""]","[10.50059329616586, 87.65963120783952, 180.10890981881175, 270.3608178478581]",1.979224347582536,5.642290882632764,0.13476215275646913,0.7812570417536917
2,24.93130626125225,5,"[""Upsilon_1S -> K_long"", ""eta -> Z"", ""proton -> B0"", ""muon -> D0"", ""D0 -> phi_1020""]","[10.50059329616586, 35.9097678358965, 87.65963120783952, 180.10890981881175, 270.3608178478581]",2.0989266050613953,5.7077554475894505,0.03605372531196649,0.8096110035348717
2,24.93130626125225,6,"[""Upsilon_1S -> K_long"", ""eta -> Z"", ""proton -> B0"", ""muon -> D0"", ""D0 -> phi_1020"", ""electron -> eta""]","[10.50059329616586, 35.9097678358965, 87.65963120783952, 151.20890168989743, 180.10890981881175, 270.3608178478581]",2.2886835018408176,5.81586904437491,0.03899093844849602,0.8502886168680748
3,6.051690338067614,3,"[""J_psi -> rho_770"", ""Omega_minus -> K_plus"", ""Ds_plus -> neutron""]","[125.05468451812177, 213.97057328942984, 298.387851326572]",0.9394909890813028,4.741051793599945,0.022004836219763624,0.5252343046696626
3,6.051690338067614,4,"[""J_psi -> rho_770"", ""Omega_minus -> K_plus"", ""Ds_plus -> neutron"", ""phi_1020 -> Sigma_plus""]","[20.566706741787772, 125.05468451812177, 213.97057328942984, 298.387851326572]",1.9769878114326245,5.640158697081361,0.12130050313815295,0.7809643476240659
3,6.051690338067614,5,"[""J_psi -> rho_770"", ""Omega_minus -> K_plus"", ""Ds_plus -> neutron"", ""phi_1020 -> Sigma_plus"", ""omega_782 -> Xi_minus""]","[20.566706741787772, 125.05468451812177, 186.86995932299436, 213.97057328942984, 298.387851326572]",2.1455692363641363,5.735296934627621,0.043414753595334594,0.8196729105901908
3,6.051690338067614,6,"[""J_psi -> rho_770"", ""Omega_minus -> K_plus"", ""Ds_plus -> neutron"", ""phi_1020 -> Sigma_plus"", ""omega_782 -> Xi_minus"", ""D_plus -> Z""]","[20.566706741787772, 125.05468451812177, 186.86995932299436, 213.97057328942984, 298.387851326572, 342.56951067218716]",2.306499638112039,5.8240665299101195,0.040694226897673894,0.8544971135416926
4,31.48157631526305,3,"[""D_plus -> Sigma_plus"", ""pi0 -> tau"", ""phi_1020 -> K_plus""]","[32.8209353471432, 126.99153548571678, 307.75567555061235]",0.9901544418206315,4.816711941476367,0.02409091329996056,0.5363045171987318
4,31.48157631526305,4,"[""D_plus -> Sigma_plus"", ""pi0 -> tau"", ""phi_1020 -> K_plus"", ""Ds_plus -> electron""]","[32.8209353471432, 126.99153548571678, 225.12671431230947, 307.75567555061235]",1.9876591729542024,5.6481054032095415,0.13980364193168932,0.7829719355943534
4,31.48157631526305,5,"[""D_plus -> Sigma_plus"", ""pi0 -> tau"", ""phi_1020 -> K_plus"", ""Ds_plus -> electron"", ""K_short -> top""]","[32.8209353471432, 126.99153548571678, 225.12671431230947, 262.75862539719895, 307.75567555061235]",2.1506194604785724,5.738100272794798,0.039141370619123664,0.8207996618974018
4,31.48157631526305,6,"[""D_plus -> Sigma_plus"", ""pi0 -> tau"", ""phi_1020 -> K_plus"", ""Ds_plus -> electron"", ""K_short -> top"", ""Lambda -> pi0""]","[32.8209353471432, 97.75936893833276, 126.99153548571678, 225.12671431230947, 262.75862539719895, 307.75567555061235]",2.349044895579153,5.851738604937438,0.042171036827266466,0.8620477943870181
5,9.70266053210642,3,"[""tau -> K_plus"", ""Lambda -> proton"", ""Sigma_plus -> phi_1020""]","[24.19057539570712, 110.6069801824679, 205.8323137379761]",1.0112693559952035,4.846306449271329,0.025059197485168987,0.5410718825989761
5,9.70266053210642,4,"[""tau -> K_plus"", ""Lambda -> proton"", ""Sigma_plus -> phi_1020"", ""D_plus -> eta""]","[24.19057539570712, 110.6069801824679, 205.8323137379761, 308.01899636027446]",1.9711848591266266,5.636533394280508,0.10302896832975894,0.7796739963885266
5,9.70266053210642,5,"[""tau -> K_plus"", ""Lambda -> proton"", ""Sigma_plus -> phi_1020"", ""D_plus -> eta"", ""rho_770 -> muon""]","[24.19057539570712, 110.6069801824679, 205.8323137379761, 308.01899636027446, 339.824039065418]",2.0988152032123923,5.705995899761227,0.03554750648048167,0.8100674000193926
5,9.70266053210642,6,"[""tau -> K_plus"", ""Lambda -> proton"", ""Sigma_plus -> phi_1020"", ""D_plus -> eta"", ""rho_770 -> muon"", ""neutron -> Omega_minus""]","[24.19057539570712, 110.6069801824679, 205.8323137379761, 243.03266811936922, 308.01899636027446, 339.824039065418]",2.3654881893041253,5.861978013973,0.04308607357948608,0.8650521254670903
6,2.390958191638328,3,"[""J_psi -> top"", ""Delta_1232 -> K_long"", ""proton -> K_short""]","[133.90760477350483, 233.01726262633775, 332.3691785389937]",1.1453822965777907,5.020948356164273,0.0348525755060532,0.5709378318682822
6,2.390958191638328,4,"[""J_psi -> top"", ""Delta_1232 -> K_long"", ""proton -> K_short"", ""W -> phi_1020""]","[47.05065076711076, 133.90760477350483, 233.01726262633775, 332.3691785389937]",1.9685319067732583,5.63485264667932,0.09774419225627999,0.7790892201148615
