base,score,prominence,width,rank
43.79139827965593,0.7949210645505121,0.11848376646666248,0.06833366673334496,1
24.93130626125225,0.1347621527564691,0.11323392210525901,0.09761952390478257,2
6.051690338067614,0.1213005031381529,0.0985215381334806,0.048809761952391284,3
31.48157631526305,0.1398036419316893,0.08309720551890859,0.11714342868573624,4
9.70266053210642,0.1030289683297583,0.07820327391523571,0.04880976195238951,5
2.390958191638328,0.0977441922562799,0.0777399126898109,0.019523904780955892,6
14.964352870574114,0.1019470486968319,0.07523100689341909,0.08785757151430218,7
20.196759351870373,0.1637605547268159,0.07032594345420859,0.30262052410482454,8
9.761232246449287,0.094756673454001,0.0699309790394784,0.02928585717143406,9
31.16919383876775,0.1197688921367757,0.063062455723995,0.08785757151430573,10
11.450050010001998,0.0862390531684624,0.06047487036523061,0.06833366673334673,11
42.200200040008,0.0810889710393836,0.059809007433086,0.7614322864572927,12
43.87925585117024,0.7350308107805142,0.058593512696664574,0.029285857171430507,13
2.0590518103620723,0.074102288538711,0.0564170304717523,0.019523904780956336,14
3.074294858971794,0.0787954756522554,0.0554486753577504,0.019523904780956336,15
5.963832766553311,0.0781777952374686,0.05539883023279629,0.048809761952390396,16
18.05889177835567,0.1065829226225685,0.05495055897954879,0.019523904780957224,17
34.73230646129226,0.0738804124867345,0.050200765888420505,0.07809561912381469,18
2.7131026205241047,0.0692383720819414,0.0498205751352588,0.019523904780956336,19
3.679535907181436,0.07730036288961,0.04738159064604559,0.019523904780956336,20
17.521984396879375,0.0725008584601023,0.0465077936836044,0.019523904780957224,21
4.382396479295859,0.0609667644271552,0.0451166795773317,0.019523904780955448,22
33.687777555511104,0.0702103587741804,0.045103749625665504,0.11714342868573624,23
15.59887977595519,0.0633561541106125,0.0447034761531564,0.06833366673334673,24
10.53242648529706,0.0641901980835651,0.0446385746064033,0.029285857171435836,25
1.600240048009602,0.0687017436623649,0.04287115593621539,0.019523904780956114,26
5.905261052210442,0.0599788122518578,0.0423496794399103,0.02928585717143406,27
4.519063812762552,0.0826314542908548,0.04199341960127831,0.019523904780956336,28
27.674414882976592,0.0713733167460982,0.041176499199187505,0.20500100020004197,29
6.510502100420084,0.0611244465628788,0.0403838420357354,0.03904780956191356,30
2.84000800160032,0.0661744601055594,0.0399099207873482,0.019523904780956336,31
4.02120424084817,0.0599012896483002,0.0384371045581146,0.02928585717143406,32
8.492178435687137,0.0573366468537294,0.0381587303191859,0.029285857171435836,33
19.79651930386077,0.060791068008617,0.037892292967474095,0.1561912382476507,34
48.93594718943789,0.0708316005444655,0.035804475066702195,0.2635727145429101,35
11.986957391478294,0.0652751360629563,0.035685035398368904,0.019523904780955448,36
44.04520904180836,0.056599935350775,0.0352721024913021,0.31238247649529427,37
3.201200240048009,0.0636149899798912,0.034788218157252505,0.019523904780956336,38
8.824084816963392,0.0538290900239402,0.0344693069194092,0.019523904780957224,39
9.009561912382477,0.0560679486980406,0.0340586942153438,0.02928585717143406,40
