variant,tau_stable_s,base,base_value,particle_count,largest_gap_deg,gap_distribution_deg,top_3_symmetry_score,top_4_symmetry_score,top_5_symmetry_score,top_6_symmetry_score
stable_truncated_1e+30,1e+30,2,2.0,31,79.49036238810933,"[79.49036238810933, 32.55330534076473, 29.978959611032135, 27.858678485981695, 26.779036372230955, 15.966875134631184, 15.05826418668104, 13.232463742654236, 11.81985680908303, 9.797392815973181, 9.47672918022136, 8.166354595121867, 7.925764299035633, 7.645468351006703, 7.6103732919280604, 7.4291405180502785, 6.532847633342975, 5.896029875328708, 5.824984061656713, 5.198961327329579, 4.643385182244452, 4.352411583929103, 4.2248200374864044, 3.9739212351992355, 3.320964895135327, 1.9023829470019509, 0.9210091540265675, 0.9175311761081034, 0.7835517009573296, 0.47066906356363497, 0.24750500418448207]",0.027819387796433122,0.03646395812678943,0.07785870274038806,0.05358579790432523
stable_truncated_1e+30,1e+30,e,2.718281828459045,31,34.86730070154387,"[34.86730070154387, 27.407207577460106, 27.322596686385648, 23.1984871645774, 23.118457939241782, 20.21147796983023, 15.307869081379158, 14.86733093056513, 14.631728878983099, 14.615600085017817, 13.686911866471897, 13.55846446334873, 11.915836877285676, 11.836232321216189, 10.310280426040702, 10.305071814618215, 9.474908022938429, 7.422046421228637, 6.63904680295234, 5.660485663060794, 5.524466204733743, 5.164147640486331, 4.958336375826435, 4.811464282096568, 4.543957076891177, 4.504935772999666, 3.3693103361394288, 3.145899876539726, 2.9754459213984443, 2.7366640826129207, 1.9080307361296918]",0.06757783475102119,0.031762615831094895,0.031981924355931224,0.03782278193249428
stable_truncated_1e+30,1e+30,pi,3.141592653589793,31,44.484155084743264,"[44.484155084743264, 38.149200153672, 27.62109447242402, 24.459098559436264, 23.96870474881117, 18.634337269222083, 16.825187445393833, 14.401633740073487, 12.399624172382483, 10.57556038970136, 10.185457021197038, 9.658818982614015, 9.214080959898464, 9.136429011336457, 8.17009857946249, 8.155225156220627, 8.101806034157754, 8.058012835616937, 7.788737400433074, 6.875914584757401, 6.054167428746233, 5.800107153840617, 5.35640228168788, 5.049694320780773, 4.944822121823215, 4.0362926358309945, 3.7955808995780065, 3.650842951954263, 2.4112336520761177, 1.5005831999292074, 0.53709675219847]",0.009821888055665967,0.021454594037051012,0.029737445896542623,0.06176768047505301
stable_truncated_1e+30,1e+30,phi,1.618033988749895,31,43.824843688548754,"[43.824843688548754, 39.93408042606065, 29.469115031213846, 26.401245371612546, 24.519066525072045, 20.11844095426341, 19.2806607792275, 18.167480022978, 16.454930759874177, 12.588297961505358, 10.440308567055226, 9.982911361155367, 9.928209483748535, 7.750845346963081, 7.13868380510589, 6.961577527226785, 6.580578753048145, 6.05189285798346, 5.271441200023966, 4.906065930579, 4.451320301571958, 4.228023826258628, 4.135502220414345, 3.6997908853821597, 3.6404102058662313, 2.9887922630737784, 2.9509009095539764, 2.7933117925022373, 1.9237903618485068, 1.744084370697869, 1.6733965095845436]",0.014964821198175885,0.04909773502333011,0.04906822065123891,0.05269460314770714
stable_truncated_1e+30,1e+30,10,10.0,31,31.89223863664338,"[31.89223863664338, 31.377831767355538, 27.28191417755372, 24.67491409492407, 22.31039358478672, 21.9621652102442, 21.424660613611476, 18.94867051594878, 16.179968941512197, 15.45721794081698, 12.754623430325212, 12.236694445454146, 12.07957960199127, 9.871476876909712, 9.515355869941395, 9.349071323191321, 8.917131668314825, 8.364639796532451, 7.300776819006755, 7.147216417104618, 5.710087183169787, 5.6920922956364555, 5.302927823612876, 2.5395242972661625, 2.458317688360057, 2.2299193197765925, 2.0975409503877422, 1.888311713633672, 1.4750449688940388, 1.1839312375446749, 0.3757607895491428]",0.021365098219250096,0.021526432995879675,0.024386595489311012,0.023619195319245282
stable_truncated_1e+35,1e+35,2,2.0,31,79.49036238810933,"[79.49036238810933, 32.55330534076473, 29.978959611032135, 27.858678485981695, 26.779036372230955, 15.966875134631184, 15.05826418668104, 13.232463742654236, 13.118357711108507, 11.81985680908303, 9.47672918022136, 8.166354595121867, 7.925764299035633, 7.645468351006703, 7.6103732919280604, 6.532847633342975, 5.824984061656713, 5.198961327329579, 5.159480514880674, 5.008371738443734, 4.643385182244452, 4.352411583929103, 3.9739212351992355, 3.544825418079683, 2.351204457249025, 2.2696600031696037, 1.9023829470019509, 0.9210091540265675, 0.9175311761081034, 0.47066906356363497, 0.24750500418448207]",0.027819387796433122,0.03646395812678943,0.07785870274038806,0.05358579790432523
stable_truncated_1e+35,1e+35,e,2.718281828459045,31,34.86730070154387,"[34.86730070154387, 27.407207577460106, 27.322596686385648, 23.1984871645774, 23.118457939241782, 20.21147796983023, 17.44030308201942, 15.307869081379158, 14.86733093056513, 14.615600085017817, 14.453983120171474, 13.686911866471897, 13.55846446334873, 11.836232321216189, 10.305071814618215, 9.474908022938429, 9.409467468056462, 7.422046421228637, 6.63904680295234, 5.712277240080809, 5.660485663060794, 5.164147640486331, 4.958336375826435, 4.543957076891177, 4.504935772999666, 3.3693103361394288, 3.145899876539726, 2.9754459213984443, 2.7366640826129207, 1.9080307361296918, 0.1777457588116251]",0.06757783475102119,0.031762615831094895,0.031981924355931224,0.03782278193249428
stable_truncated_1e+35,1e+35,pi,3.141592653589793,31,44.484155084743264,"[44.484155084743264, 38.149200153672, 27.62109447242402, 24.459098559436264, 16.825187445393833, 14.401633740073487, 12.46846307904133, 12.399624172382483, 12.043452070698617, 11.500241669769839, 11.11265714189983, 10.185457021197038, 9.670681779391698, 9.658818982614015, 9.214080959898464, 9.136429011336457, 8.155225156220627, 8.101806034157754, 8.058012835616937, 7.788737400433074, 6.875914584757401, 6.590885198523465, 6.054167428746233, 5.800107153840617, 5.35640228168788, 5.049694320780773, 4.944822121823215, 4.0362926358309945, 3.7955808995780065, 3.650842951954263, 2.4112336520761177]",0.009821888055665967,0.021454594037051012,0.02371305864939706,0.030115815683235445
stable_truncated_1e+35,1e+35,phi,1.618033988749895,31,39.93408042606065,"[39.93408042606065, 31.868958740732857, 31.10676622772985, 29.469115031213846, 26.401245371612546, 24.519066525072045, 20.11844095426341, 18.167480022978, 16.454930759874177, 13.623321567021598, 12.718077460818904, 9.928209483748535, 7.750845346963081, 7.344786930229926, 7.13868380510589, 6.961577527226785, 6.580578753048145, 6.05189285798346, 5.271441200023966, 4.906065930579, 4.451320301571958, 4.228023826258628, 4.135502220414345, 3.6997908853821597, 3.095521636825299, 2.9887922630737784, 2.9509009095539764, 2.7933117925022373, 1.9237903618485068, 1.744084370697869, 1.6733965095845436]",0.011458769013206018,0.015298113185061754,0.03236871261241122,0.04405588105033426
stable_truncated_1e+35,1e+35,10,10.0,31,31.89223863664338,"[31.89223863664338, 31.377831767355538, 27.28191417755372, 24.67491409492407, 22.31039358478672, 21.9621652102442, 21.424660613614034, 18.94867051594878, 16.179968941512197, 15.45721794081698, 12.754623430322669, 12.236694445454146, 12.07957960199127, 9.871476876909712, 9.515355869941395, 9.349071323191321, 8.917131668314825, 8.364639796532451, 7.300776819006755, 7.147216417104618, 5.710087183169787, 5.6920922956364555, 5.302927823612876, 2.5395242972687067, 2.458317688360057, 2.2299193197765925, 2.0975409503877422, 1.888311713633672, 1.4750449688914815, 1.1839312375446749, 0.3757607895491428]",0.021365098219250096,0.021526432995879675,0.024386595489311012,0.023619195319245282
stable_truncated_1e+40,1e+40,2,2.0,31,79.49036238810933,"[79.49036238810933, 29.978959611032135, 28.046010556876357, 27.858678485981695, 26.779036372230955, 15.966875134631184, 15.05826418668104, 13.232463742654236, 13.118357711108507, 11.81985680908303, 9.47672918022136, 8.166354595121867, 7.925764299035633, 7.645468351006703, 7.4291405180502785, 6.732426096898208, 6.532847633342975, 5.896029875328708, 5.824984061656713, 5.198961327329579, 5.008371738443734, 4.643385182244452, 4.507294783888374, 4.352411583929103, 3.9739212351992355, 1.9023829470019509, 0.9210091540265675, 0.9175311761081034, 0.8779471950298527, 0.47066906356363497, 0.24750500418448207]",0.026703278164484652,0.03502484160151915,0.07785870274038806,0.051633042829033055
stable_truncated_1e+40,1e+40,e,2.718281828459045,31,34.86730070154387,"[34.86730070154387, 27.407207577460106, 27.322596686385648, 23.1984871645774, 23.118457939241782, 20.21147796983023, 17.44030308201942, 15.307869081379158, 15.12174470813727, 14.86733093056513, 14.631728878983099, 14.615600085017817, 13.686911866471897, 13.55846446334873, 11.836232321216189, 10.305071814618215, 9.474908022938429, 7.422046421228637, 5.660485663060794, 5.164147640486331, 4.958336375826435, 4.543957076891177, 4.494870496464225, 3.7818685738372544, 3.3693103361394288, 3.145899876539726, 2.9754459213984443, 2.7366640826129207, 2.1441763064881143, 1.9080307361296918, 0.7230671991624118]",0.06757783475102119,0.031762615831094895,0.031981924355931224,0.03782278193249428
stable_truncated_1e+40,1e+40,pi,3.141592653589793,31,44.484155084743264,"[44.484155084743264, 38.149200153672, 27.62109447242402, 24.459098559436264, 23.96870474881117, 18.634337269222083, 16.825187445393833, 14.401633740073487, 11.11265714189983, 10.185457021197038, 9.670681779391698, 9.658818982614015, 9.214080959898464, 9.138319988739095, 9.136429011336457, 8.155225156220627, 8.058012835616937, 7.788737400433074, 6.875914584757401, 6.054167428746233, 5.892451303769981, 5.800107153840617, 5.35640228168788, 5.049694320780773, 4.944822121823215, 4.0362926358309945, 3.7955808995780065, 3.650842951954263, 3.2613041836433867, 2.4112336520761177, 2.209354730387773]",0.009821888055665967,0.021454594037051012,0.029737445896542623,0.06176768047505301
stable_truncated_1e+40,1e+40,phi,1.618033988749895,31,39.93408042606065,"[39.93408042606065, 39.768537253800105, 31.868958740732857, 29.469115031213846, 26.401245371612546, 24.519066525072045, 20.11844095426341, 18.167480022978, 13.623321567021598, 11.6657301312034, 10.440308567055226, 9.928209483748535, 7.750845346963081, 7.13868380510589, 6.961577527226785, 6.580578753048145, 6.05189285798346, 5.271441200023966, 4.906065930579, 4.789200628670779, 4.451320301571958, 4.228023826258628, 4.135502220414345, 4.056306434748646, 3.6997908853821597, 2.9887922630737784, 2.9509009095539764, 2.7933117925022373, 1.9237903618485068, 1.744084370697869, 1.6733965095845436]",0.011458769013206018,0.015298113185061754,0.031941480857785476,0.039224645169098196
stable_truncated_1e+40,1e+40,10,10.0,31,31.89223863664338,"[31.89223863664338, 31.377831767355538, 27.28191417755372, 24.67491409492407, 22.31039358478672, 21.9621652102442, 21.424660613614034, 18.94867051594878, 16.179968941512197, 15.45721794081698, 12.754623430322669, 12.236694445454146, 12.07957960199127, 9.871476876909712, 9.515355869941395, 9.349071323191321, 8.917131668314825, 8.364639796532451, 7.300776819006755, 7.147216417104618, 5.710087183169787, 5.6920922956364555, 5.302927823612876, 2.5395242972687067, 2.458317688360057, 2.2299193197765925, 2.0975409503877422, 1.888311713633672, 1.4750449688914815, 1.1839312375446749, 0.3757607895491428]",0.021365098219250096,0.021526432995879675,0.024386595489311012,0.023619195319245282
