variant,base,top_4_symmetry_score
finite_lifetime_only,1.2,0.03946446875784509
finite_lifetime_only,1.2488488488488487,0.01725504811051467
finite_lifetime_only,1.2976976976976977,0.037853410039338335
finite_lifetime_only,1.3465465465465465,0.0224915402947577
finite_lifetime_only,1.3953953953953953,0.030175709473935445
finite_lifetime_only,1.4442442442442442,0.020110424313094177
finite_lifetime_only,1.493093093093093,0.019159960204601402
finite_lifetime_only,1.5419419419419418,0.024721003445453294
finite_lifetime_only,1.5907907907907908,0.02788739392082017
finite_lifetime_only,1.6396396396396395,0.027714215040243267
finite_lifetime_only,1.6884884884884883,0.016476538761362285
finite_lifetime_only,1.7373373373373373,0.03812794688654559
finite_lifetime_only,1.786186186186186,0.021388155080511093
finite_lifetime_only,1.8350350350350348,0.02375440242829632
finite_lifetime_only,1.8838838838838838,0.01694527760690311
finite_lifetime_only,1.9327327327327326,0.02030160410403644
finite_lifetime_only,1.9815815815815814,0.030910370543038797
finite_lifetime_only,2.0304304304304304,0.02441826208427054
finite_lifetime_only,2.0792792792792794,0.02057581517800366
finite_lifetime_only,2.128128128128128,0.022164174614115215
finite_lifetime_only,2.176976976976977,0.015435614367110922
finite_lifetime_only,2.225825825825826,0.013657029517075392
finite_lifetime_only,2.2746746746746744,0.022003402905067616
finite_lifetime_only,2.3235235235235234,0.043993051897851194
finite_lifetime_only,2.3723723723723724,0.02004484377758618
finite_lifetime_only,2.421221221221221,0.02367273502338795
finite_lifetime_only,2.47007007007007,0.029923922751419137
finite_lifetime_only,2.518918918918919,0.06436092793466992
finite_lifetime_only,2.5677677677677675,0.023634059540619753
finite_lifetime_only,2.6166166166166165,0.029218245664938008
finite_lifetime_only,2.6654654654654655,0.024191872074155216
finite_lifetime_only,2.714314314314314,0.07083332032548403
finite_lifetime_only,2.763163163163163,0.027432968694572124
finite_lifetime_only,2.812012012012012,0.026993320924424163
finite_lifetime_only,2.8608608608608606,0.026495824471661055
finite_lifetime_only,2.9097097097097095,0.030134237697114406
finite_lifetime_only,2.9585585585585585,0.04516460873389646
finite_lifetime_only,3.007407407407407,0.04082567170785844
finite_lifetime_only,3.056256256256256,0.014355365745691837
finite_lifetime_only,3.105105105105105,0.021145957281888908
finite_lifetime_only,3.1539539539539536,0.017553318085812154
finite_lifetime_only,3.202802802802803,0.06486475150599788
finite_lifetime_only,3.2516516516516516,0.030005555105796455
finite_lifetime_only,3.3005005005005,0.03694181303325819
finite_lifetime_only,3.3493493493493496,0.04171840966522799
finite_lifetime_only,3.398198198198198,0.045578502139538846
finite_lifetime_only,3.4470470470470467,0.034170774704115774
finite_lifetime_only,3.495895895895896,0.04611148068452443
finite_lifetime_only,3.5447447447447447,0.018029399459280563
finite_lifetime_only,3.593593593593593,0.03345110737097303
finite_lifetime_only,3.6424424424424426,0.026651033238192647
finite_lifetime_only,3.691291291291291,0.034943829470279915
finite_lifetime_only,3.7401401401401397,0.02211855453145495
finite_lifetime_only,3.788988988988989,0.018819893328046972
finite_lifetime_only,3.8378378378378377,0.03186283865679887
finite_lifetime_only,3.8866866866866863,0.0159670679026511
finite_lifetime_only,3.9355355355355357,0.034128681477020376
finite_lifetime_only,3.9843843843843842,0.01839670997145036
finite_lifetime_only,4.033233233233233,0.022498732232030718
finite_lifetime_only,4.082082082082082,0.11733569699247287
finite_lifetime_only,4.130930930930931,0.036476679684689824
finite_lifetime_only,4.179779779779779,0.037016311956418434
finite_lifetime_only,4.228628628628629,0.03332249597525808
finite_lifetime_only,4.277477477477477,0.016027095217488758
finite_lifetime_only,4.326326326326326,0.019858612529605107
finite_lifetime_only,4.375175175175175,0.061677833174366634
finite_lifetime_only,4.424024024024024,0.014070124094599864
finite_lifetime_only,4.472872872872872,0.036023413037378486
finite_lifetime_only,4.521721721721722,0.03002327223167149
finite_lifetime_only,4.57057057057057,0.01707472791283696
finite_lifetime_only,4.619419419419419,0.0220189007158445
finite_lifetime_only,4.668268268268268,0.019113315456804038
finite_lifetime_only,4.717117117117117,0.028873285275835697
finite_lifetime_only,4.7659659659659654,0.016903149028711244
finite_lifetime_only,4.814814814814815,0.03064516008868173
