Lower_particle,Upper_particle,Lower_log10_N,Upper_log10_N,Delta_log10_N,Largest_gap_rank
neutron,electron,26.300073716822478,56.41054209203653,30.11046837521405,1
muon,neutron,16.74918461424223,26.300073716822478,9.55088910258025,2
electron,proton,56.41054209203653,65.23509837075635,8.824556278719818,3
Higgs,tau,3.685178675832777,11.09597171977255,7.410793043939773,4
tau,muon,11.09597171977255,16.74918461424223,5.653212894469679,5
W,Higgs,0.7882310922760309,3.685178675832777,2.896947583556746,6
Z,W,0.7649959817301074,0.7882310922760309,0.023235110545923532,7
